anio,mes,agente_nemo,agente_descripcion,tipo_agente,region,provincia,categoria_area,categoria_demanda,tarifa,categoria_tarifa,demanda_MWh,indice_tiempo
2012,01,AARGTAOY,AEROP ARG 2000 - Aeroparque,GU,GRAN BS.AS.,BUENOS AIRES,Gran Usuario MEM,Gran Usuario,GUMAS/AUTOGENERADORES,Industrial/Comercial Grande,2222.628,2012-01
2012,01,ACARQQ3Y,ASOC.COOP.ARG. - Quequén,GU,BUENOS AIRES,BUENOS AIRES,Gran Usuario MEM,Gran Usuario,GUMAS/AUTOGENERADORES,Industrial/Comercial Grande,536.858,2012-01
2012,01,ACARSLSY,ASOC.COOP.ARG. - San Lorenzo,GU,LITORAL,SANTA FE,Gran Usuario MEM,Gran Usuario,GUMAS/AUTOGENERADORES,Industrial/Comercial Grande,336.297,2012-01
2012,01,ACINROSY,ACINDAR ROSARIO EX-NAVARRO,GU,LITORAL,SANTA FE,Gran Usuario MEM,Gran Usuario,GUMAS/AUTOGENERADORES,Industrial/Comercial Grande,601.066,2012-01
2012,01,ACINTBOY,ACINDAR PTA. TABLADA,GU,GRAN BS.AS.,BUENOS AIRES,Gran Usuario MEM,Gran Usuario,GUMAS/AUTOGENERADORES,Industrial/Comercial Grande,3076.618,2012-01
2012,01,ACINVCSZ,ACINDAR PTA. V. CONSTITUCION,GU,LITORAL,SANTA FE,Gran Usuario MEM,Gran Usuario,GUMAS/AUTOGENERADORES,Industrial/Comercial Grande,68179.459,2012-01
2012,01,ACUYLCMY,ACEROS CUYANOS S.A.- L.DE CUYO,GU,CUYO,MENDOZA,Gran Usuario MEM,Gran Usuario,GUMAS/AUTOGENERADORES,Industrial/Comercial Grande,703.186,2012-01
2012,01,AEEZECCY,AEROP ARG 2000 EX FAA EZEIZA,GU,GRAN BS.AS.,BUENOS AIRES,Gran Usuario MEM,Gran Usuario,GUMAS/AUTOGENERADORES,Industrial/Comercial Grande,5584.473,2012-01
2012,01,AGEABACY,ARTE GRAFICO EDIT. ARG. SA,GU,GRAN BS.AS.,BUENOS AIRES,Gran Usuario MEM,Gran Usuario,GUMAS/AUTOGENERADORES,Industrial/Comercial Grande,1218.18,2012-01
2012,01,AGEATACY,ARTE GRAFICA EDIT.Pta.Tacuari,GU,GRAN BS.AS.,BUENOS AIRES,Gran Usuario MEM,Gran Usuario,GUMAS/AUTOGENERADORES,Industrial/Comercial Grande,631.637,2012-01
2012,01,AGFAFVCY,AGFA GEVAERT ARGENTINA SA,GU,GRAN BS.AS.,BUENOS AIRES,Gran Usuario MEM,Gran Usuario,GUMAS/AUTOGENERADORES,Industrial/Comercial Grande,292.244,2012-01
2012,01,AGRIPTCY,ARTES GRAFICAS RIOPLATENSE SA,GU,GRAN BS.AS.,BUENOS AIRES,Gran Usuario MEM,Gran Usuario,GUMAS/AUTOGENERADORES,Industrial/Comercial Grande,1245.103,2012-01
2012,01,AIRLBB2Z,AIR LIQUIDE - Pta.Bahia Blanca,GU,BUENOS AIRES,BUENOS AIRES,Gran Usuario MEM,Gran Usuario,GUMAS/AUTOGENERADORES,Industrial/Comercial Grande,3947.187,2012-01
2012,01,AIRLESOY,AIR LIQUIDE - Escobar,GU,GRAN BS.AS.,BUENOS AIRES,Gran Usuario MEM,Gran Usuario,GUMAS/AUTOGENERADORES,Industrial/Comercial Grande,101.959,2012-01
2012,01,AIRLLACY,AIR LIQUIDE - Llavallol,GU,GRAN BS.AS.,BUENOS AIRES,Gran Usuario MEM,Gran Usuario,GUMAS/AUTOGENERADORES,Industrial/Comercial Grande,1879.012,2012-01
2012,01,AIRLNSIY,AIR LIQUIDE - Ensenada,GU,GRAN BS.AS.,BUENOS AIRES,Gran Usuario MEM,Gran Usuario,GUMAS/AUTOGENERADORES,Industrial/Comercial Grande,3031.95,2012-01
2012,01,AIRLSN1Y,AIR LIQUIDE - P3 SIDERAR,GU,BUENOS AIRES,BUENOS AIRES,Gran Usuario MEM,Gran Usuario,GUMAS/AUTOGENERADORES,Industrial/Comercial Grande,2011.403,2012-01
2012,01,AIRLVCSY,AIR LIQUIDE - V.Constitucion,GU,LITORAL,SANTA FE,Gran Usuario MEM,Gran Usuario,GUMAS/AUTOGENERADORES,Industrial/Comercial Grande,6784.856,2012-01
2012,01,AKZ2SLSY,AKZO NOBEL ARGENT.SA  - EX ICI,GU,LITORAL,SANTA FE,Gran Usuario MEM,Gran Usuario,GUMAS/AUTOGENERADORES,Industrial/Comercial Grande,2671.565,2012-01
2012,01,AKZOGAOY,AKZO NOBEL ARG.-EX ALBA,GU,GRAN BS.AS.,BUENOS AIRES,Gran Usuario MEM,Gran Usuario,GUMAS/AUTOGENERADORES,Industrial/Comercial Grande,533.504,2012-01
2012,01,ALPAHOCY,ALVEAR PALACE HOTEL S.A. E I.,GU,GRAN BS.AS.,BUENOS AIRES,Gran Usuario MEM,Gran Usuario,GUMAS/AUTOGENERADORES,Industrial/Comercial Grande,887.513,2012-01
2012,01,ALPAVACY,ALPARGATAS CALZADOS - F Varela,GU,GRAN BS.AS.,BUENOS AIRES,Gran Usuario MEM,Gran Usuario,GUMAS/AUTOGENERADORES,Industrial/Comercial Grande,377.906,2012-01
2012,01,ALPLAVOY,ALPLA AVELLANEDA S.A. - Pilar,GU,GRAN BS.AS.,BUENOS AIRES,Gran Usuario MEM,Gran Usuario,GUMAS/AUTOGENERADORES,Industrial/Comercial Grande,3847.478,2012-01
2012,01,ALTOAPOY,ALTO PALERMO SA(EX-APSA y SHO),GU,GRAN BS.AS.,BUENOS AIRES,Gran Usuario MEM,Gran Usuario,GUMAS/AUTOGENERADORES,Industrial/Comercial Grande,1642.219,2012-01
2012,01,ALUAMAUZ,ALUAR SA,GU,PATAGONICA,CHUBUT,Gran Usuario MEM,Gran Usuario,GUMAS/AUTOGENERADORES,Industrial/Comercial Grande,44471.361,2012-01
2012,01,AMCOPIOY,AMCOR PET PACK.ARG.(LUBEPIOY),GU,GRAN BS.AS.,BUENOS AIRES,Gran Usuario MEM,Gran Usuario,GUMAS/AUTOGENERADORES,Industrial/Comercial Grande,2825.542,2012-01
2012,01,ANDIGPOY,ANDINA EMPAQUES ARG.S.A.,GU,GRAN BS.AS.,BUENOS AIRES,Gran Usuario MEM,Gran Usuario,GUMAS/AUTOGENERADORES,Industrial/Comercial Grande,2856.097,2012-01
2012,01,APARBONY,ALTO PARANA-PTO.BOSSETI,GU,NORESTE,MISIONES,Gran Usuario MEM,Gran Usuario,GUMAS/AUTOGENERADORES,Industrial/Comercial Grande,57.45,2012-01
2012,01,APARESNY,ALTO PARANA-PTO.ESPERANZA,GU,NORESTE,MISIONES,Gran Usuario MEM,Gran Usuario,GUMAS/AUTOGENERADORES,Industrial/Comercial Grande,3329.415,2012-01
2012,01,APARPPNA,ALTO PARANA-PTO.PIRAY,AG,NORESTE,MISIONES,Gran Usuario MEM,Gran Usuario,GUMAS/AUTOGENERADORES,Industrial/Comercial Grande,1226.736,2012-01
2012,01,APARSMSY,ALTO PARANA-EX FAPLAC,GU,LITORAL,SANTA FE,Gran Usuario MEM,Gran Usuario,GUMAS/AUTOGENERADORES,Industrial/Comercial Grande,1016.255,2012-01
2012,01,APARZA1Y,ALTO PARANA - EX-FAPLAC S.A.,GU,BUENOS AIRES,BUENOS AIRES,Gran Usuario MEM,Gran Usuario,GUMAS/AUTOGENERADORES,Industrial/Comercial Grande,2703.511,2012-01
2012,01,APELPALD,APELP,DI,COMAHUE,LA PAMPA,Resto,Distribuidor,Alumbrado Publico,Residencial,3975.129,2012-01
2012,01,APELPALD,APELP,DI,COMAHUE,LA PAMPA,Resto,Distribuidor,GRANDES USUARIOS C DEM MAYOR O IGUAL 300KW,Industrial/Comercial Grande,6518.991,2012-01
2012,01,APELPALD,APELP,DI,COMAHUE,LA PAMPA,Resto,Distribuidor,MENOR 10KW NO RES. MAYOR O IGUAL 4000 KWH/BIM,Comercial,5971.351,2012-01
2012,01,APELPALD,APELP,DI,COMAHUE,LA PAMPA,Resto,Distribuidor,MENOR 10KW NO RES. MENOR 4000 KWH BIM,Comercial,12686.903,2012-01
2012,01,APELPALD,APELP,DI,COMAHUE,LA PAMPA,Resto,Distribuidor,RES. MAYOR 1000 Y MENOR O IGUAL 1400 KWH BIM,Residencial,4660.389,2012-01
2012,01,APELPALD,APELP,DI,COMAHUE,LA PAMPA,Resto,Distribuidor,RES. MAYOR 1400 Y MENOR O IGUAL 2800 KWH BIM,Residencial,3107.389,2012-01
2012,01,APELPALD,APELP,DI,COMAHUE,LA PAMPA,Resto,Distribuidor,RES. MAYOR 2800 KWH BIM,Residencial,663.292,2012-01
2012,01,APELPALD,APELP,DI,COMAHUE,LA PAMPA,Resto,Distribuidor,RES. MENOR O IGUAL 1000 KWH BIM,Residencial,28189.139,2012-01
2012,01,APELPALD,APELP,DI,COMAHUE,LA PAMPA,Resto,Distribuidor,SANCIONADO DEM.MAYOR O IGUAL 10 Y MENOR300 KW,Industrial/Comercial Grande,13723.795,2012-01
2012,01,APLAMAOY,AMERICAN PLAST Pta. Malv. Arg.,GU,GRAN BS.AS.,BUENOS AIRES,Gran Usuario MEM,Gran Usuario,GUMAS/AUTOGENERADORES,Industrial/Comercial Grande,1765.52,2012-01
2012,01,APSAABCY,ALTO PALERMO S.A. Sh. Abasto,GU,GRAN BS.AS.,BUENOS AIRES,Gran Usuario MEM,Gran Usuario,GUMAS/AUTOGENERADORES,Industrial/Comercial Grande,2696.391,2012-01
2012,01,APSAAVCY,ALTO AVELLANED SHOP EXDUMSAVCY,GU,GRAN BS.AS.,BUENOS AIRES,Gran Usuario MEM,Gran Usuario,GUMAS/AUTOGENERADORES,Industrial/Comercial Grande,1759.333,2012-01
2012,01,APSABUCY,ALTO PALERMO S.A. P.BULLRICH,GU,GRAN BS.AS.,BUENOS AIRES,Gran Usuario MEM,Gran Usuario,GUMAS/AUTOGENERADORES,Industrial/Comercial Grande,772.288,2012-01
2012,01,APSAPAOY,PASEO ALCORTA EX NEW SHOPPING,GU,GRAN BS.AS.,BUENOS AIRES,Gran Usuario MEM,Gran Usuario,GUMAS/AUTOGENERADORES,Industrial/Comercial Grande,1067.922,2012-01
