"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AA3","AB1","AD1","AE1","AG1","AJ1","AT1","AT2","AT3","AT4","AT5","ED1","GA1","GA2","GA3","GA4","GD1","GD2","GD3","GF1","GK1","GP1","GQ1","GR1","KA1","KA2","KB1","KB2","KB3","KD1","KD2","KE1","MA1","MD1","MG1","MH1","MK1","MW1","MW2","MW3","MW4","OC1","OE1","OE2","OE3","REM","EQD"
"72295023174","1998-01-01T00:00:00","3","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","SY-MT","LAX  ","V020","250,5,N,0031,5","03048,5,M,N","016000,5,N,1","+0178,5","+0106,5","10168,5","01,0000,9,5","06,0000,9,1",,,,,"0,000",,,,,,,,"07,1,+03000,1,99,9","07,1,+04500,1,99,9",,,"3,99,5,+03048,5,9","3,99,5,+04572,5,9",,,,"0060,0102,01,011,0112,01,016,0075,01,011","0060,0762,9,2293,9","0060,0337,9,1415,9",,,,,,,,,"10169,5,10130,1","8,1,001,1,+999,9",,,,,,,,,,,,"MET055NEW AO2 SLP168 CITY MAX 80 T01780106 10222 20178 58001;","Q01+000062SCOTCVQ02+000000PRSWM2N01 00000JPWTH 0"
"72295023174","1998-01-01T00:50:00","C","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","LAX  ","V020","250,5,N,0036,5","03048,5,M,N","016000,5,N,1","+0167,5","+0128,5","10169,5","01,0000,9,5",,,,,,"0,999",,,,,,,,"07,1,+03000,1,99,9","07,1,+04500,1,99,9",,,"3,99,5,+03048,5,9","3,99,5,+04572,5,9",,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10169,5,10131,1",,,,,,,,,,,,,"MET025NEW AO2 SLP169 T01670128;","Q01+999990APOSP Q02+000000PRSWM2N01 00000JPWTH 0"
"72295023174","1998-01-01T01:00:00","9","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","NSRDB","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,,,,,,,,,,,,,,,,,,,,,,,"0060,0033,01,024,0036,01,027,0031,01,024","0060,0856,9,2384,9","0060,0098,9,1262,9",,,,,,,,,,,,,,,,,,,,,,,
"72295023174","1998-01-01T01:50:00","C","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","LAX  ","V020","260,5,N,0026,5","03048,5,M,N","016000,5,N,1","+0167,5","+0133,5","10172,5","01,0000,9,5",,,,,,"0,999",,,,,,,,"07,1,+03000,1,99,9","07,1,+04500,1,99,9",,,"3,99,5,+03048,5,9","3,99,5,+04572,5,9",,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10173,5,10134,1",,,,,,,,,,,,,"MET025NEW AO2 SLP172 T01670133;","Q01+999990APOSP Q02+000000PRSWM2N01 00000JPWTH 0"
"72295023174","1998-01-01T02:00:00","9","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","NSRDB","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,,,,,,,,,,,,,,,,,,,,,,,"0060,0000,01,000,0000,01,000,0000,01,000",,"0060,0000,9,0000,9",,,,,,,,,,,,,,,,,,,,,,,
"72295023174","1998-01-01T02:50:00","C","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","LAX  ","V020","999,9,V,0026,5","03048,5,M,N","016000,5,N,1","+0172,5","+0128,5","10173,5","01,0000,9,5",,,,,,"0,000",,,,,,,,"07,1,+03000,1,99,9","07,1,+04500,1,99,9",,,"3,99,5,+03048,5,9","3,99,5,+04572,5,9",,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10176,5,10138,1","3,1,006,1,+999,9",,,,,,,,,,,,"MET031NEW AO2 SLP173 T01720128 53006;","Q01+999990APOSP Q02+000000PRSWM2N01 00000JPWTH 0"
"72295023174","1998-01-01T03:00:00","9","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","NSRDB","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,,,,,,,,,,,,,,,,,,,,,,,"0060,0000,01,000,0000,01,000,0000,01,000",,"0060,0000,9,0000,9",,,,,,,,,,,,,,,,,,,,,,,
"72295023174","1998-01-01T04:00:00","3","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","LAX  ","V020","999,9,V,0021,5","04572,5,M,N","016000,5,9,9","+0167,5","+0139,5","10173,5","01,0000,9,5",,,,,,,,,,,,,,,,,,"2,99,5,+03048,5,9","3,99,5,+04572,5,9",,,,"0060,0000,01,000,0000,01,000,0000,01,000",,"0060,0000,9,0000,9",,,,,,,,,"10176,5,99999,9",,,,,,,,,,,,,,"N01 00000JPWTH 0"
"72295023174","1998-01-01T04:50:00","C","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","LAX  ","V020","999,9,V,0015,5","04572,5,M,N","016000,5,N,1","+0172,5","+0139,5","10173,5","01,0000,9,5",,,,,,"0,999",,,,,,,,"02,1,+03000,1,99,9","08,1,+04500,1,99,9",,,"2,99,5,+03048,5,9","4,99,5,+04572,5,9",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10176,5,10138,1",,,,,,,,,,,,,"MET025NEW AO2 SLP173 T01720139;","Q01+999990APOSP Q02+000000PRSWM2N01 00000JPWTH 0"
"72295023174","1998-01-01T05:00:00","9","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","NSRDB","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,,,,,,,,,,,,,,,,,,,,,,,"0060,0000,01,000,0000,01,000,0000,01,000",,"0060,0000,9,0000,9",,,,,,,,,,,,,,,,,,,,,,,
