"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AA3","AB1","AD1","AE1","AH1","AH2","AH3","AH4","AH5","AH6","AI1","AI2","AI3","AI4","AI5","AI6","AT1","AT2","AT3","AT4","AT5","AY1","AY2","ED1","GA1","GD1","GD2","GD3","GD4","GF1","GJ1","GK1","GP1","GQ1","GR1","KA1","KA2","KB1","KB2","KB3","KD1","KD2","KE1","MA1","MD1","MG1","MH1","MK1","MV1","MW1","MW2","MW3","MW4","OC1","OE1","OE2","OE3","REM","EQD"
"72295023174","2000-01-01T00:00:00","3","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","SY-MT","LAX  ","V020","240,5,N,0057,5","01067,5,M,N","016000,5,N,1","+0130,5","+0000,1","10167,5","06,0000,9,1",,,,,,,,,,,,,,,,,,,,,,,,,,,"1,99,5,+00762,5,9","3,99,5,+01067,5,9",,,"06,99,1,99,9,99,9,00800,1,99,9,99,9",,,"0060,0093,02,008,0000,02,015,0093,02,008","0060,0763,9,2294,9","0060,0335,9,1415,9",,,,,,,,,"10169,5,10130,1","6,1,005,1,+999,9",,,,,,,,,,,,,"SYN076AAXX  01004 72295 32566 62411 10133 20000 30130 40167 56005 92350 555 90100;","Q01  00002PRCP06N01 00000JPWTH 0"
"72295023174","2000-01-01T00:50:00","3","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","LAX  ","V020","260,5,N,0046,5","01067,5,M,N","016000,5,N,1","+0122,5","+0078,5","10169,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,99,5,+00762,5,9","3,99,5,+01067,5,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,,"10169,5,99999,9",,,,,,"00,1",,,,,,,,"MET083KLAX 010050Z 26009KT 10SM FEW025 BKN035 12/08 A3003 RMK AO2 SLP169 T01220078 PNO $;","N01 00000JPWTH 0"
"72295023174","2000-01-01T01:00:00","9","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","NSRDB","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0060,0012,02,008,0000,02,015,0012,02,008","0060,0856,9,2384,9","0060,0096,9,1262,9",,,,,,,,,,,,,,,,,,,,,,,,
"72295023174","2000-01-01T01:50:00","3","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","LAX  ","V020","280,5,N,0046,5","01067,5,M,N","016000,5,N,1","+0128,5","+0083,5","10171,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,99,5,+00762,5,9","3,99,5,+01067,5,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,,"10173,5,99999,9",,,,,,"00,1",,,,,,,,"MET083KLAX 010150Z 28009KT 10SM SCT025 BKN035 13/08 A3004 RMK AO2 SLP171 T01280083 PNO $;","N01 00000JPWTH 0"
"72295023174","2000-01-01T02:00:00","9","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","NSRDB","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0060,0000,02,000,0000,02,000,0000,02,000",,"0060,0000,9,0000,9",,,,,,,,,,,,,,,,,,,,,,,,
"72295023174","2000-01-01T02:50:00","3","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","LAX  ","V020","010,5,N,0021,5","01219,5,M,N","012800,5,N,1","+0117,5","+0078,5","10172,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,99,5,+00792,5,9","3,99,5,+01219,5,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,,"10173,5,99999,9","1,1,005,1,+999,9",,,,,"00,1",,,,,,,,"MET094KLAX 010250Z 01004KT 8SM FEW026 BKN040 12/08 A3004 RMK AO2 SLP172 6//// T01170078 51005 PNO $;","N01 00000JPWTH 0"
"72295023174","2000-01-01T03:00:00","9","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","NSRDB","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0060,0000,02,000,0000,02,000,0000,02,000",,"0060,0000,9,0000,9",,,,,,,,,,,,,,,,,,,,,,,,
"72295023174","2000-01-01T03:50:00","3","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","LAX  ","V020","110,5,N,0031,5","22000,5,M,N","011200,5,N,1","+0106,5","+0000,5","10173,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,99,5,+00792,5,9","2,99,5,+01006,5,9",,,"04,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,,"10173,5,99999,9",,,,,,"00,1",,,,,,,,"MET082KLAX 010350Z 11006KT 7SM FEW026 SCT033 11/00 A3004 RMK AO2 SLP173 T01060000 PNO $;","N01 00000JPWTH 0"
"72295023174","2000-01-01T04:00:00","9","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","NSRDB","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0060,0000,02,000,0000,02,000,0000,02,000",,"0060,0000,9,0000,9",,,,,,,,,,,,,,,,,,,,,,,,
"72295023174","2000-01-01T04:50:00","3","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","LAX  ","V020","050,5,N,0021,5","22000,5,M,N","011200,5,N,1","+0106,5","+0000,5","10177,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,,"10179,5,99999,9",,,,,,"00,1",,,,,,,,"MET072KLAX 010450Z 05004KT 7SM CLR 11/00 A3006 RMK AO2 SLP177 T01060000 PNO $;","N01 00000JPWTH 0"
