"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AA3","AB1","AD1","AE1","AH1","AH2","AH3","AH4","AH5","AH6","AI1","AI2","AI3","AI4","AI5","AI6","AT1","AT2","AT3","AT4","ED1","GA1","GD1","GD2","GD3","GD4","GF1","GJ1","GK1","GP1","GQ1","GR1","IA1","KA1","KA2","KB1","KB2","KB3","KD1","KD2","KE1","MA1","MD1","MG1","MH1","MK1","MV1","MW1","MW2","MW3","MW4","MW5","OC1","OE1","OE2","OE3","SA1","UA1","UG1","REM","EQD"
"72295023174","2002-01-01T00:00:00","3","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","SY-MT","LAX  ","V020","250,5,N,0031,5","00244,5,M,N","016000,5,N,1","+0139,5","+0128,5","10187,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,"3,99,5,+00244,5,9",,,,"06,99,1,99,9,99,9,00250,1,99,9,99,9",,,"0060,0186,02,008,0280,02,015,0119,02,008","0060,0762,9,2293,9","0060,0337,9,1415,9",,,,,,,,,,"10190,5,10151,1","3,1,001,1,+999,9",,,,,,,,,,,,,,,,,"SYN076AAXX  01004 72295 32366 62506 10139 20128 30151 40187 53001 92350 555 90100;","Q01  00002PRCP99Q02  00003PRCP99N01 00000JPWTH 0"
"72295023174","2002-01-01T00:50:00","C","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","LAX  ","V020","270,5,N,0041,5","00244,5,M,N","016000,5,N,1","+0139,5","+0128,5","10190,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,"3,99,5,+00244,5,9","4,99,5,+01036,5,9",,,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,,,"10190,5,99999,9",,,,,,"00,1",,,,,,,,,,,,"MET077KLAX 010050Z 27008KT 10SM BKN008 OVC034 14/13 A3009 RMK AO2 SLP190 T01390128;","Q01+000000PRSWM2N01 00000JPWTH 0"
"72295023174","2002-01-01T01:00:00","9","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","NSRDB","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0060,0024,02,008,0129,02,015,0015,02,008","0060,0855,9,2384,9","0060,0098,9,1262,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"72295023174","2002-01-01T01:50:00","C","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","LAX  ","V020","260,5,N,0021,5","00244,5,M,N","016000,5,N,1","+0139,5","+0128,5","10191,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,"4,99,5,+00244,5,9",,,,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,,,"10193,5,99999,9",,,,,,"00,1",,,,,,,,,,,,"MET070KLAX 010150Z 26004KT 10SM OVC008 14/13 A3010 RMK AO2 SLP191 T01390128;","Q01+000000PRSWM2N01 00000JPWTH 0"
"72295023174","2002-01-01T02:00:00","9","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","NSRDB","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0060,0000,02,000,0000,02,000,0000,02,000",,"0060,0000,9,0000,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"72295023174","2002-01-01T03:00:00","3","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","LAX  ","V020","240,5,N,0015,5","00244,5,M,N","006400,5,9,9","+0139,5","+0128,5","10191,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,"4,99,5,+00244,5,9",,,,,,,"0060,0000,02,000,0000,02,000,0000,02,000",,"0060,0000,9,0000,9",,,,,,,,,,"10193,5,99999,9",,,,,,"45,5",,,,,,,,,,,,,"N01 00070JPWTH 0"
"72295023174","2002-01-01T03:50:00","C","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","LAX  ","V020","999,9,C,0000,5","00183,5,M,N","012800,5,N,1","+0139,5","+0122,5","10187,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,"4,99,5,+00183,5,9",,,,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,,,"10190,5,99999,9",,,,,,"00,1",,,,,,,,,,,,"MET069KLAX 010350Z 00000KT 8SM OVC006 14/12 A3009 RMK AO2 SLP187 T01390122;","Q01+000000PRSWM2N01 00000JPWTH 0"
"72295023174","2002-01-01T04:00:00","9","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","NSRDB","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0060,0000,02,000,0000,02,000,0000,02,000",,"0060,0000,9,0000,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"72295023174","2002-01-01T04:50:00","C","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","LAX  ","V020","999,9,C,0000,5","00244,5,M,N","009600,5,N,1","+0139,5","+0122,5","10196,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,"4,99,5,+00244,5,9",,,,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,,,"10196,5,99999,9",,,,,,"10,1","45,5",,,,,,,,,,,"MET090METAR KLAX 010450Z 00000KT 6SM BR OVC008 14/12 A3011 RMK AO2 CIG 007V011 SLP196 T01390122;","Q01+000003PRSWM1Q02    003PRSWM1N01 00070JPWTH 0"
"72295023174","2002-01-01T05:06:00","3","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-16","KLAX ","V020","190,1,N,0015,1","00210,1,C,N","009656,1,N,1","+0140,1","+0120,1","99999,9",,,,,,,,,,,,,,,,,,,,,,,,,"4,99,1,+00300,1,9",,,,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,,"0060,0000,02,000,0000,02,000,0000,02,000",,"0060,0000,9,0000,9",,,,,,,,,,"10196,1,99999,9",,,,,,"10,1",,,,,,,,,,,,"MET067KLAX 010506Z 19003KT 6SM BR OVC010 14/12 A3011 RMK AO2 CIG 007V014;","Q01+000003PRSWM1Q02    003PRSWM1"
"72295023174","2002-01-01T05:50:00","4","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V020","999,9,9,9999,9","00420,1,9,N","008046,1,N,1","+0140,1","+0120,1","10194,1",,,,,,,,,,,,,,,,,,,,,,,,,"3,99,1,+00420,1,9",,,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,"999,M,+0139,1","999,N,+0139,1",,,,,,,"10196,1,99999,9","3,1,003,1,+999,9",,,,,"10,1",,,,,,,,,,,,"MET090KLAX 010550Z 00000KT 5SM BR BKN014 14/12 A3011 RMK AO2 SLP194 T01390122 10139 20139 53003;","Q01+000003PRSWM1Q02    003PRSWM1"
"72295023174","2002-01-01T06:00:00","3","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","SY-MT","LAX  ","V020","999,9,C,0000,5","00427,5,M,N","008000,5,N,1","+0139,5","+0122,5","10194,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,"3,99,5,+00427,5,9",,,,"06,99,1,99,9,99,9,00450,1,99,9,99,9",,,"0060,0000,02,000,0000,02,000,0000,02,000",,"0060,0000,9,0000,9",,"240,M,+0144,1","240,N,+0128,1",,,,,,,"10196,5,10157,1","3,1,003,1,+999,9",,,,,"10,1","45,5",,,,,,,,,,,"SYN098AAXX  01064 72295 31458 60000 10139 20122 30157 40194 53003 710// 90550 333 10144 20128 555 90106;","Q01  00002PRCP99Q02  00003PRCP99N01 00070JPWTH 0"
