"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AA3","AB1","AD1","AE1","AH1","AH2","AH3","AH4","AH5","AH6","AI1","AI2","AI3","AI4","AI5","AI6","AT1","AT2","AT3","AT4","ED1","GA1","GD1","GD2","GD3","GD4","GF1","GJ1","GK1","GP1","GQ1","GR1","KA1","KA2","KB1","KB2","KB3","KD1","KD2","KE1","MA1","MD1","MG1","MH1","MK1","MV1","MW1","MW2","MW3","MW4","OC1","OE1","OE2","OE3","REM","EQD"
"72295023174","2003-01-01T00:00:00","3","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","SY-MT","LAX  ","V020","270,5,N,0036,5","00274,5,M,N","016000,5,N,1","+0133,5","+0133,5","10202,5","01,0000,9,5","06,0000,9,1",,,,,,,,,,,,,,,,,,,,,,,"3,99,5,+00274,5,9","3,99,5,+01524,5,9","3,99,5,+03048,5,9",,"06,99,1,99,9,99,9,00250,1,99,9,99,9",,,"0060,0209,02,008,0439,02,015,0104,02,008","0060,0762,9,2293,9","0060,0336,9,1415,9",,,,,,,,,"10203,5,10164,1","5,1,009,1,+999,9",,,,,,,,,,,,,"SYN076AAXX  01004 72295 32366 62707 10133 20133 30164 40202 55009 92350 555 90100;","Q01  00002PRCP06N01 00000JPWTH 0"
"72295023174","2003-01-01T00:50:00","C","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","LAX  ","V020","280,5,N,0026,5","00366,5,M,N","016000,5,N,1","+0128,5","+0122,5","10198,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,"3,99,5,+00366,5,9","3,99,5,+06096,5,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,,"10200,5,99999,9",,,,,,"00,1",,,,,,,,"MET077KLAX 010050Z 28005KT 10SM BKN012 BKN200 13/12 A3012 RMK AO2 SLP198 T01280122;","Q01+000000PRSWM2N01 00000JPWTH 0"
"72295023174","2003-01-01T01:00:00","9","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","NSRDB","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0060,0027,02,008,0201,02,015,0013,02,008","0060,0856,9,2384,9","0060,0097,9,1262,9",,,,,,,,,,,,,,,,,,,,,,,,
"72295023174","2003-01-01T01:50:00","C","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","LAX  ","V020","350,5,N,0021,5","22000,5,M,N","016000,5,N,1","+0128,5","+0122,5","10200,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,"1,99,5,+00366,5,9","2,99,5,+07620,5,9",,,"04,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,,"10200,5,99999,9",,,,,,"00,1",,,,,,,,"MET077KLAX 010150Z 35004KT 10SM FEW012 SCT250 13/12 A3012 RMK AO2 SLP200 T01280122;","Q01+000000PRSWM2N01 00000JPWTH 0"
"72295023174","2003-01-01T02:00:00","9","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","NSRDB","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0060,0000,02,000,0000,02,000,0000,02,000",,"0060,0000,9,0000,9",,,,,,,,,,,,,,,,,,,,,,,,
"72295023174","2003-01-01T02:50:00","C","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","LAX  ","V020","290,5,N,0031,5","22000,5,M,N","016000,5,N,1","+0128,5","+0122,5","10203,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,"1,99,5,+00610,5,9",,,,"02,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,,"10203,5,99999,9","3,1,001,1,+999,9",,,,,"00,1",,,,,,,,"MET076KLAX 010250Z 29006KT 10SM FEW020 13/12 A3013 RMK AO2 SLP203 T01280122 53001;","Q01+000000PRSWM2N01 00000JPWTH 0"
"72295023174","2003-01-01T03:00:00","9","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","NSRDB","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0060,0000,02,000,0000,02,000,0000,02,000",,"0060,0000,9,0000,9",,,,,,,,,,,,,,,,,,,,,,,,
"72295023174","2003-01-01T03:50:00","C","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","LAX  ","V020","360,5,N,0036,5","22000,5,M,N","016000,5,N,1","+0139,5","+0044,5","10201,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,,"10200,5,99999,9",,,,,,"00,1",,,,,,,,"MET067KLAX 010350Z 36007KT 10SM CLR 14/04 A3012 RMK AO2 SLP201 T01390044;","Q01+000000PRSWM2N01 00000JPWTH 0"
"72295023174","2003-01-01T04:00:00","9","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","NSRDB","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0060,0000,02,000,0000,02,000,0000,02,000",,"0060,0000,9,0000,9",,,,,,,,,,,,,,,,,,,,,,,,
"72295023174","2003-01-01T04:50:00","C","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","LAX  ","V020","350,5,N,0062,5","22000,5,M,N","016000,5,N,1","+0139,5","+0017,5","10196,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,,"10196,5,99999,9",,,,,,"00,1",,,,"0108,1",,,,"MET078KLAX 010450Z 35012G21KT 310V010 10SM CLR 14/02 A3011 RMK AO2 SLP196 T01390017;","Q01+000000PRSWM2N01 00000JPWTH 0"
