"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AA3","AB1","AD1","AE1","AH1","AH2","AH3","AH4","AH5","AH6","AI1","AI2","AI3","AI4","AI5","AI6","AT1","AT2","AT3","AT4","AT5","AU1","AU2","AU3","AU4","AW1","AW2","AW3","AX1","AX2","AX3","ED1","GA1","GA2","GA3","GA4","GA5","GA6","GD1","GD2","GD3","GD4","GF1","KA1","KA2","KB1","KB2","KB3","KC1","KC2","KD1","KD2","KE1","MA1","MD1","MG1","MH1","MK1","MV1","MW1","MW2","MW3","OC1","OD1","OE1","OE2","OE3","REM","EQD"
"72295023174","2005-01-01T00:00:00","4","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-12","KLAX ","V020","260,1,N,0057,1","22000,1,9,N","016000,1,N,1","+0133,1","+0089,1","10144,1","06,0010,9,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02,99,1,99,9,99,9,00800,1,99,9,99,9",,,,,,,,,,,"99999,9,10107,1","3,1,006,1,+999,9",,,,,,,,,,,,,"SYN082AAXX  01004 72295 12566 22611 10133 20089 30107 40144 53006 60011 92350 555 90100;",
"72295023174","2005-01-01T00:50:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V020","240,5,N,0036,5","22000,5,9,N","016093,5,N,5","+0128,5","+0083,5","10146,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02,5,+00914,5,99,9",,,,,,"1,99,1,+00914,5,9",,,,"02,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,"10146,5,10027,6",,,,,,"00,1",,,,,,,,"MET09812/31/04 16:51:55 METAR KLAX 010050Z 24007KT 10SM FEW030 13/08 A2996 RMK AO2 SLP146 T01280083 (AR)","Q01+000000PRSWM2"
"72295023174","2005-01-01T01:50:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V020","250,5,N,0041,5","22000,5,9,N","016093,5,N,5","+0122,5","+0083,5","10151,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02,5,+00914,5,99,9",,,,,,"1,99,1,+00914,5,9",,,,"02,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,"10152,5,10034,5",,,,,,"00,1",,,,,,,,"MET09812/31/04 17:51:50 METAR KLAX 010150Z 25008KT 10SM FEW030 12/08 A2998 RMK AO2 SLP151 T01220083 (AR)","Q01+000000PRSWM2"
"72295023174","2005-01-01T02:50:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V020","260,5,N,0036,5","22000,5,9,N","016093,5,N,5","+0122,5","+0089,5","10157,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04,5,+01097,5,99,9",,,,,,"2,99,1,+01097,5,9",,,,"04,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,"10159,5,10040,5","3,9,012,9,+999,9",,,,,"00,1",,,,,,,,"MET10412/31/04 18:51:52 METAR KLAX 010250Z 26007KT 10SM SCT036 12/09 A3000 RMK AO2 SLP157 T01220089 53012 (AR)","Q01+000000PRSWM2"
"72295023174","2005-01-01T03:50:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V020","310,5,N,0026,5","22000,5,9,N","016093,5,N,5","+0122,5","+0094,5","10160,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02,5,+01006,5,99,9","04,5,+01311,5,99,9",,,,,"1,99,1,+01006,5,9","2,99,1,+01311,5,9",,,"04,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,"10163,5,10044,5",,,,,,"00,1",,,,,,,,"MET10512/31/04 19:51:51 METAR KLAX 010350Z 31005KT 10SM FEW033 SCT043 12/09 A3001 RMK AO2 SLP160 T01220094 (AR)","Q01+000000PRSWM2"
"72295023174","2005-01-01T04:50:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V020","999,9,V,0015,5","22000,5,9,N","016093,5,N,5","+0117,5","+0089,5","10163,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04,5,+01006,5,99,9","04,5,+01372,5,99,9",,,,,"2,99,1,+01006,5,9","2,99,1,+01372,5,9",,,"04,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,"10163,5,10044,5",,,,,,"00,1",,,,,,,,"MET10512/31/04 20:51:52 METAR KLAX 010450Z VRB03KT 10SM SCT033 SCT045 12/09 A3001 RMK AO2 SLP163 T01170089 (AR)","Q01+000000PRSWM2"
"72295023174","2005-01-01T05:50:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V020","120,5,N,0021,5","01524,5,M,N","016093,5,N,5","+0122,5","+0089,5","10168,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02,5,+00853,5,99,9","04,5,+01067,5,99,9","07,5,+01524,5,99,9",,,,"1,99,1,+00853,5,9","2,99,1,+01067,5,9","3,99,1,+01524,5,9",,"07,99,1,99,9,99,9,99999,9,99,9,99,9","999,M,+0133,1","999,N,+0111,1",,,,,,,,,"10169,5,10051,5","3,9,011,9,+999,9",,,,,"00,1",,,,,,,,"MET12512/31/04 21:50:00 METAR KLAX 010550Z 12004KT 10SM FEW028 SCT035 BKN050 12/09 A3003 RMK AO2 SLP168 T01220089 10133 20111 53011","Q01+000000PRSWM2"
"72295023174","2005-01-01T06:00:00","4","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-12","KLAX ","V020","120,1,N,0021,1","99999,9,9,N","016000,1,N,1","+0122,1","+0089,1","10168,1","06,0000,9,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"06,99,1,99,9,99,9,00800,1,99,9,99,9","240,M,+0133,1","240,N,+0106,1",,,,,,,,,"99999,9,99999,9","3,1,011,1,+999,9",,,,,,,,,,,,,"SYN092AAXX  01064 72295 32566 61204 10122 20089 30130 40168 53011 90550 333 10133 20106 555 90106;","Q01  00002PRCP06Q02 101303APOSP "
"72295023174","2005-01-01T06:22:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-16","KLAX ","V020","999,9,C,0000,5","00853,5,M,N","016093,5,N,5","+0120,5","+0090,5","99999,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"07,5,+00853,5,99,9","07,5,+01128,5,99,9","07,5,+01524,5,99,9",,,,"3,99,1,+00853,5,9","3,99,1,+01128,5,9","3,99,1,+01524,5,9",,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,"10169,5,10051,5",,,,,,"00,1",,,,,,,,"MET08612/31/04 22:22:00 SPECI KLAX 010622Z 00000KT 10SM BKN028 BKN037 BKN050 12/09 A3003 RMK","Q01+000000PRSWM2"
"72295023174","2005-01-01T06:50:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V020","070,5,N,0021,5","01676,5,M,N","016093,5,N,5","+0117,5","+0094,5","10169,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02,5,+00853,5,99,9","04,5,+01219,5,99,9","07,5,+01676,5,99,9",,,,"1,99,1,+00853,5,9","2,99,1,+01219,5,9","3,99,1,+01676,5,9",,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,"10169,5,10051,5",,,,,,"00,1",,,,,,,,"MET10712/31/04 22:50:00 METAR KLAX 010650Z 07004KT 10SM FEW028 SCT040 BKN055 12/09 A3003 RMK AO2 SLP169 T01170094","Q01+000000PRSWM2"
"72295023174","2005-01-01T07:50:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V020","030,5,N,0021,5","01311,5,M,N","011265,5,N,5","+0111,5","+0094,5","10169,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02,5,+00762,5,99,9","07,5,+01311,5,99,9","07,5,+01676,5,99,9",,,,"1,99,1,+00762,5,9","3,99,1,+01311,5,9","3,99,1,+01676,5,9",,"07,99,1,99,9,99,9,99999,9,99,9,99,9","999,M,+0144,1","999,N,+0106,1",,,,,,,,,"10169,5,10051,5",,,,,,"00,1",,,,,,,,"MET11612/31/04 23:50:00 METAR KLAX 010750Z 03004KT 7SM FEW025 BKN043 BKN055 11/09 A3003 RMK AO2 SLP169 T01110094 401440106","Q01+000000PRSWM2"
"72295023174","2005-01-01T07:59:00","6","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","SOD  ","KLAX ","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","24,0190,9,5",,,,,,,,,,,,,,,,,,"MW,16,RA  ,5","MW,14,DZ  ,5","MW,01,FG  ,5","MW,13,BR  ,1",,,,,,,,,"01,5,24,5",,,,,,,,,,,,,,,"240,M,+0144,5","240,N,+0106,5",,,,,,,,,,,"10032,4,10132,4",,,,,,,,,"1,24,01073,260,0947,5","2,24,01028,260,0947,5","3,24,00407,999,9999,5","SOD77524 HR PRECIPITATION (IN): 0.75 WEATHER(CODE):1  24 HR MAX TEMP (F):58 24 HR MAX TEMP TIME (LST):1444 24 HR MIN TEMP (F):51 24 HR MIN TEMP TIME (LST):0750 AVERAGE STATION PRESSURE(D):29.626 MINIMUM SEA LEVEL PRESSURE:29.92 TIME OF OCCURRENCE:0907 PEAK WIND SPEED (MPH):24  PEAK WIND DIR (DEG):260 PEAK WIND TIME (LST):0947  FASTEST 2MIN SPEED (MPH):23 FASTEST 2MIN DIR (DEG):260 FASTEST 2MIN TIME (LST):0947 AVERAGE WIND SPEED (MPH): 9.1 24 HR AVG TEMP (F):55 DEPART FROM NORMAL:  -2 HEATING DEGREE DAYS: 10 COOLING DEGREE DAYS:  0 LATEST DAY MAX TEMP (0700-1900 LST): 58 LATEST NIGHT MIN TEMP(1900-0800 LST):51 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):0.00 0.00 0.00T     0.00T     0.04 0.11 0.19 0.38 0.03T    T     0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00",
