"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AA3","AB1","AD1","AE1","AH1","AH2","AH3","AH4","AH5","AH6","AI1","AI2","AI3","AI4","AI5","AI6","AT1","AT2","AT3","AT4","AU1","AU2","AU3","AW1","AW2","AW3","AX1","AX2","AX3","ED1","GA1","GA2","GA3","GA4","GA5","GA6","GD1","GD2","GD3","GD4","GF1","KA1","KA2","KB1","KB2","KB3","KC1","KC2","KD1","KD2","KE1","KG1","KG2","MA1","MD1","MF1","MG1","MH1","MK1","MV1","MW1","MW2","MW3","OC1","OD1","OE1","OE2","OE3","RH1","RH2","RH3","REM","EQD"
"72295023174","2006-01-01T00:00:00","4","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-12","KLAX ","V020","210,1,N,0082,1","99999,9,9,N","011000,1,N,1","+0156,1","+0144,1","10127,1","06,0170,9,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"08,99,1,99,9,99,9,00150,1,99,9,99,9",,,,,,,,,,,,,"99999,9,10090,1","5,1,009,1,+999,9",,,,,,,,,"0118,5",,,,,,,,"SYN092AAXX  01004 72295 12261 82116 10156 20144 30090 40127 55009 60171 92350 333 91023 555 90100;",
"72295023174","2006-01-01T00:50:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V020","220,5,N,0062,5","00366,5,M,N","012875,5,N,5","+0156,5","+0144,5","10136,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02,5,+00213,5,99,9","07,5,+00366,5,99,9","07,5,+00549,5,99,9",,,,"1,99,1,+00213,5,9","3,99,1,+00366,5,9","3,99,1,+00549,5,9",,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10139,5,10020,5",,,,,,,,,,,,,,,,,,"MET10612/31/05 16:50:00 METAR KLAX 010050Z 22012KT 8SM FEW007 BKN012 BKN018 16/14 A2994 RMK AO2 SLP136 T01560144","Q01+000000PRSWM1"
"72295023174","2006-01-01T01:13:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-16","KLAX ","V020","220,5,N,0062,5","00213,5,M,N","014484,5,N,5","+0160,5","+0140,5","99999,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"07,5,+00213,5,99,9","07,5,+00396,5,99,9","08,5,+00640,5,99,9",,,,"3,99,1,+00213,5,9","3,99,1,+00396,5,9","4,99,1,+00640,5,9",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10139,5,10020,5",,,,,,,,,,,,,,,,,,"MET08912/31/05 17:13:00 SPECI KLAX 010113Z 22012KT 9SM BKN007 BKN013 OVC021 16/14 A2994 RMK AO2","Q01+000000PRSWM1"
"72295023174","2006-01-01T01:28:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-16","KLAX ","V020","210,5,N,0057,5","00457,5,M,N","014484,5,N,5","+0160,5","+0140,5","99999,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04,5,+00274,5,99,9","07,5,+00457,5,99,9","07,5,+00640,5,99,9",,,,"2,99,1,+00274,5,9","3,99,1,+00457,5,9","3,99,1,+00640,5,9",,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10142,5,10024,5",,,,,,,,,,,,,,,,,,"MET08912/31/05 17:28:00 SPECI KLAX 010128Z 21011KT 9SM SCT009 BKN015 BKN021 16/14 A2995 RMK AO2","Q01+000000PRSWM1"
"72295023174","2006-01-01T01:42:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-16","KLAX ","V020","220,5,N,0067,5","22000,5,9,N","014484,5,N,5","+0150,5","+0140,5","99999,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02,5,+00274,5,99,9","04,5,+00457,5,99,9","04,5,+00640,5,99,9",,,,"1,99,1,+00274,5,9","2,99,1,+00457,5,9","2,99,1,+00640,5,9",,"04,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10139,5,10020,5",,,,,,,,,,,,,,,,,,"MET08912/31/05 17:42:00 SPECI KLAX 010142Z 22013KT 9SM FEW009 SCT015 SCT021 15/14 A2994 RMK AO2","Q01+000000PRSWM1"
"72295023174","2006-01-01T01:50:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V020","220,5,N,0062,5","00640,5,M,N","012875,5,N,5","+0150,5","+0139,5","10135,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02,5,+00274,5,99,9","04,5,+00457,5,99,9","07,5,+00640,5,99,9",,,,"1,99,1,+00274,5,9","2,99,1,+00457,5,9","3,99,1,+00640,5,9",,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10135,5,10017,5",,,,,,,,,,,,,,,,,,"MET10612/31/05 17:50:00 METAR KLAX 010150Z 22012KT 8SM FEW009 SCT015 BKN021 15/14 A2993 RMK AO2 SLP135 T01500139","Q01+000000PRSWM1"
"72295023174","2006-01-01T02:08:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-16","KLAX ","V020","220,5,N,0051,5","22000,5,9,N","012875,5,N,5","+0150,5","+0140,5","99999,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04,5,+00213,5,99,9",,,,,,"2,99,1,+00213,5,9",,,,"04,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10139,5,10020,5",,,,,,,,,,,,,,,,,,"MET07512/31/05 18:08:00 SPECI KLAX 010208Z 22010KT 8SM SCT007 15/14 A2994 RMK AO2","Q01+000000PRSWM1"
"72295023174","2006-01-01T02:50:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V020","230,5,N,0067,5","22000,5,9,N","011265,5,N,5","+0150,5","+0139,5","10140,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02,5,+00213,5,99,9","04,5,+07620,5,99,9",,,,,"1,99,1,+00213,5,9","2,99,1,+07620,5,9",,,"04,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10142,5,10024,5","1,9,013,9,+999,9",,,,,,,,,,,,,,,,,"MET10512/31/05 18:50:00 METAR KLAX 010250Z 23013KT 7SM FEW007 SCT250 15/14 A2995 RMK AO2 SLP140 T01500139 51013","Q01+000000PRSWM1"
"72295023174","2006-01-01T03:50:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V020","250,5,N,0021,5","00701,5,M,N","009656,5,N,5","+0144,5","+0133,5","10148,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,"0,0,00,1,0,1,5",,,"10,5",,,,,,,"02,5,+00366,5,99,9","04,5,+00518,5,99,9","07,5,+00701,5,99,9",,,,"1,99,1,+00366,5,9","2,99,1,+00518,5,9","3,99,1,+00701,5,9",,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10149,5,10030,5",,,,,,,"10,1",,,,,,,,,,,"MET10912/31/05 19:50:00 METAR KLAX 010350Z 25004KT 6SM BR FEW012 SCT017 BKN023 14/13 A2997 RMK AO2 SLP148 T01440133","Q01+000000PRSWM1"
"72295023174","2006-01-01T04:50:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V020","230,5,N,0026,5","00518,5,M,N","011265,5,N,5","+0150,5","+0133,5","10153,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"07,5,+00518,5,99,9",,,,,,"3,99,1,+00518,5,9",,,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10156,5,10037,5",,,,,,,,,,,,,,,,,,"MET09212/31/05 20:50:00 METAR KLAX 010450Z 23005KT 7SM BKN017 15/13 A2999 RMK AO2 SLP153 T01500133","Q01+000000PRSWM1"
"72295023174","2006-01-01T05:12:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-16","KLAX ","V020","240,5,N,0021,5","06096,5,M,N","009656,5,N,5","+0140,5","+0130,5","99999,9",,,,,,,,,,,,,,,,,,,,,,,"0,0,00,1,0,1,5",,,"10,5",,,,,,,"02,5,+00518,5,99,9","07,5,+06096,5,99,9",,,,,"1,99,1,+00518,5,9","3,99,1,+06096,5,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10156,5,10037,5",,,,,,,"10,1",,,,,,,,,,,"MET08512/31/05 21:12:00 SPECI KLAX 010512Z 24004KT 6SM BR FEW017 BKN200 14/13 A2999 RMK AO2","Q01+000000PRSWM1"
"72295023174","2006-01-01T05:50:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V020","190,5,N,0015,5","22000,5,9,N","011265,5,N,5","+0150,5","+0122,5","10156,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02,5,+06096,5,99,9","04,5,+07620,5,99,9",,,,,"1,99,1,+06096,5,9","2,99,1,+07620,5,9",,,"04,99,1,99,9,99,9,99999,9,99,9,99,9","999,M,+0156,1","999,N,+0144,1",,,,,,,,,,,"10156,5,10037,5","1,9,016,9,+999,9",,,,,,,,,,,,,,,,,"MET11712/31/05 21:50:00 METAR KLAX 010550Z 19003KT 7SM FEW200 SCT250 15/12 A2999 RMK AO2 SLP156 T01500122 10156 20144 51016","Q01+000000PRSWM1"
"72295023174","2006-01-01T06:00:00","4","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-12","KLAX ","V020","190,1,N,0015,1","22000,1,9,N","011000,1,N,1","+0150,1","+0122,1","10156,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04,99,1,99,9,99,9,99999,9,99,9,99,9","240,M,+0156,1","240,N,+0117,1",,,,,,,,,,,"99999,9,99999,9","1,1,016,1,+999,9",,,,,,,,,,,,,,,,,"SYN092AAXX  01064 72295 32961 41903 10150 20122 30117 40156 51016 90550 333 10156 20117 555 90106;","Q01 101173APOSP "
"72295023174","2006-01-01T06:27:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-16","KLAX ","V020","130,5,N,0026,5","00061,5,M,N","002816,5,N,5","+0140,5","+0130,5","99999,9",,,,,,,,,,,,,,,,,,,,,,,"0,0,00,1,0,1,5",,,"10,5",,,,,,,"07,5,+00061,5,99,9",,,,,,"3,99,1,+00061,5,9",,,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10159,5,10040,5",,,,,,,"10,1",,,,,,,,,,,"MET08212/31/05 22:27:00 SPECI KLAX 010627Z 13005KT 1 3/4SM BR BKN002 14/13 A3000 RMK AO2","Q01+000000PRSWM1"
"72295023174","2006-01-01T06:50:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V020","090,5,N,0031,5","22000,5,9,N","002414,5,N,5","+0139,5","+0133,5","10158,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,"0,0,00,1,0,1,5",,,"10,5",,,,,,,"02,5,+00061,5,99,9",,,,,,"1,99,1,+00061,5,9",,,,"02,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10159,5,10040,5",,,,,,,"10,1",,,,,,,,,,,"MET12612/31/05 22:50:00 METAR KLAX 010650Z 09006KT 1 1/2SM BR FEW002 14/13 A3000 RMK AO2 SLP158 VIS SE-W 1 1/2 FG BNK SE-W T01390133","Q01+000000PRSWM1"
"72295023174","2006-01-01T06:59:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-16","KLAX ","V020","090,5,N,0026,5","00061,5,M,N","000805,5,N,5","+0140,5","+0130,5","99999,9",,,,,,,,,,,,,,,,,,,,,,,"0,0,00,2,0,1,5",,,"30,5",,,,,,"25,L,1219,9","07,5,+00061,5,99,9",,,,,,"3,99,1,+00061,5,9",,,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10163,5,10044,5",,,,,,,"44,1",,,,,,,,,,,"MET09812/31/05 22:59:00 SPECI KLAX 010659Z 09005KT 1/2SM R25L/4000VP6000FT FG BKN002 14/13 A3001 RMK AO2","Q01+000000PRSWM1"
"72295023174","2006-01-01T07:10:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-16","KLAX ","V020","100,5,N,0031,5","00030,5,W,N","000805,5,N,5","+0140,5","+0130,5","99999,9",,,,,,,,,,,,,,,,,,,,,,,"0,0,00,2,0,1,5",,,"30,5",,,,,,"25,L,0792,9","09,5,+00030,5,99,9",,,,,,"5,99,1,+00030,5,9",,,,"09,99,1,99,9,99,9,00025,1,99,9,99,9",,,,,,,,,,,,,"10163,5,10044,5",,,,,,,"45,1",,,,,,,,,,,"MET09612/31/05 23:10:00 SPECI KLAX 010710Z 10006KT 1/2SM R25L/2600V4000FT FG VV001 14/13 A3001 RMK AO2","Q01+000000PRSWM1"
"72295023174","2006-01-01T07:41:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-16","KLAX ","V020","999,9,V,0015,5","00061,5,M,N","001207,5,N,5","+0130,5","+0130,5","99999,9",,,,,,,,,,,,,,,,,,,,,,,"0,0,00,1,0,1,5",,,"10,5",,,,,,"25,L,1219,9","07,5,+00061,5,99,9",,,,,,"3,99,1,+00061,5,9",,,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10163,5,10044,5",,,,,,,"10,1",,,,,,,,,,,"MET09812/31/05 23:41:00 SPECI KLAX 010741Z VRB03KT 3/4SM R25L/4000VP6000FT BR BKN002 13/13 A3001 RMK AO2","Q01+000000PRSWM1"
"72295023174","2006-01-01T07:50:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V020","130,5,N,0021,5","00061,5,M,N","001207,5,N,5","+0133,5","+0133,5","10161,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,"0,0,00,1,0,1,5",,,"10,5",,,,,,"25,L,1067,9","07,5,+00061,5,99,9",,,,,,"3,99,1,+00061,5,9",,,,"07,99,1,99,9,99,9,99999,9,99,9,99,9","999,M,+0156,1","999,N,+0111,1",,,,,,,,,,,"10163,5,10044,5",,,,,,,"10,1",,,,,,,,,,,"MET14012/31/05 23:50:00 METAR KLAX 010750Z 13004KT 3/4SM R25L/3500VP6000FT BR BKN002 13/13 A3001 RMK AO2 SLP161 ASOS VIS 1 1/2 T01330133 401560111","Q01+000000PRSWM1"
