"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AA3","AB1","AD1","AE1","AH1","AH2","AH3","AH4","AH5","AH6","AI1","AI2","AI3","AI4","AI5","AI6","AT1","AT2","AT3","AT4","AT5","AU1","AU2","AU3","AW1","AW2","AW3","AX1","AX2","AX3","ED1","GA1","GA2","GA3","GA4","GA5","GD1","GD2","GD3","GD4","GF1","KA1","KA2","KB1","KB2","KB3","KC1","KC2","KD1","KD2","KE1","KG1","KG2","MA1","MD1","MF1","MG1","MH1","MK1","MV1","MW1","MW2","MW3","OC1","OD1","OE1","OE2","OE3","RH1","RH2","RH3","REM","EQD"
"72295023174","2007-01-01T00:00:00","4","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-12","KLAX ","V020","260,1,N,0031,1","99999,9,9,N","016000,1,N,1","+0139,1","+0100,1","10214,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"06,99,1,99,9,99,9,00450,1,99,9,99,9","120,M,+0150,1","180,N,+0067,1",,,,,,,,,,,"99999,9,10157,1","6,1,014,1,+999,9",,,,,,,,,,,,,,,,,"SYN092AAXX  01004 72295 32466 62606 10139 20100 30157 40214 56014 92350 333 10150 20067 555 90100;",
"72295023174","2007-01-01T00:50:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","270,5,N,0036,5","22000,5,9,N","016093,5,N,5","+0139,5","+0100,5","10210,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02,5,+00488,5,99,9","04,5,+00671,5,99,9","04,5,+07620,5,99,9",,,"1,99,1,+00488,5,9","2,99,1,+00671,5,9","2,99,1,+07620,5,9",,"04,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10210,5,10091,5",,,,,,,,,,,,,,,,,,"MET11212/31/06 16:51:58 METAR KLAX 010050Z 27007KT 10SM FEW016 SCT022 SCT250 14/10 A3015 RMK AO2 SLP210 T01390100 (AR)",
"72295023174","2007-01-01T01:34:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-16","KLAX ","V030","290,5,N,0051,5","00610,5,M,N","016093,5,N,5","+0130,5","+0110,5","99999,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"07,5,+00610,5,99,9","07,5,+00823,5,99,9",,,,"3,99,1,+00610,5,9","3,99,1,+00823,5,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10213,5,10094,5",,,,,,,,,,,,,,,,,,"MET08812/31/06 17:35:51 SPECI KLAX 010134Z 29010KT 10SM BKN020 BKN027 13/11 A3016 RMK AO2 (AR)",
"72295023174","2007-01-01T01:50:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","280,5,N,0041,5","00671,5,M,N","016093,5,N,5","+0133,5","+0100,5","10214,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04,5,+00457,5,99,9","08,5,+00671,5,99,9",,,,"2,99,1,+00457,5,9","4,99,1,+00671,5,9",,,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10213,5,10094,5",,,,,,,,,,,,,,,,,,"MET10512/31/06 17:51:52 METAR KLAX 010150Z 28008KT 10SM SCT015 OVC022 13/10 A3016 RMK AO2 SLP214 T01330100 (AR)",
"72295023174","2007-01-01T02:37:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-16","KLAX ","V030","290,5,N,0026,5","22000,5,9,N","016093,5,N,5","+0130,5","+0090,5","99999,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02,5,+00732,5,99,9",,,,,"1,99,1,+00732,5,9",,,,"02,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10213,5,10094,5",,,,,,,,,,,,,,,,,,"MET08112/31/06 18:38:50 SPECI KLAX 010237Z 29005KT 10SM FEW024 13/09 A3016 RMK AO2 (AR)",
"72295023174","2007-01-01T02:50:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","280,5,N,0026,5","22000,5,9,N","016093,5,N,5","+0128,5","+0094,5","10214,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02,5,+00671,5,99,9",,,,,"1,99,1,+00671,5,9",,,,"02,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10213,5,10094,5","6,9,001,9,+999,9",,,,,,,,,,,,,,,,,"MET10412/31/06 18:51:53 METAR KLAX 010250Z 28005KT 10SM FEW022 13/09 A3016 RMK AO2 SLP214 T01280094 56001 (AR)",
"72295023174","2007-01-01T03:48:00","6","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-16","KLAX ","V030","260,5,N,0021,5","00671,5,M,N","016093,5,N,5","+0130,5","+0090,5","99999,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"07,5,+00671,5,99,9",,,,,"3,99,1,+00671,5,9",,,,,,,,,,,,,,,,,"10210,5,10091,5",,,,,,,,,,,,,,,,,,"MET08612/31/06 19:49:21 SPECI KLAX 010348Z 26004KT 10SM BKN022 13/09 A3015 RMK AO2 FIBI (AR)",
"72295023174","2007-01-01T03:50:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","280,5,N,0021,5","00671,5,M,N","016093,5,N,5","+0133,5","+0094,5","10212,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"07,5,+00671,5,99,9",,,,,"3,99,1,+00671,5,9",,,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10210,5,10091,5",,,,,,,,,,,,,,,,,,"MET09812/31/06 19:51:51 METAR KLAX 010350Z 28004KT 10SM BKN022 13/09 A3015 RMK AO2 SLP212 T01330094 (AR)",
"72295023174","2007-01-01T04:20:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-16","KLAX ","V030","270,5,N,0026,5","22000,5,9,N","016093,5,N,5","+0120,5","+0090,5","99999,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02,5,+00610,5,99,9",,,,,"1,99,1,+00610,5,9",,,,"02,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10210,5,10091,5",,,,,,,,,,,,,,,,,,"MET08112/31/06 20:21:52 SPECI KLAX 010420Z 27005KT 10SM FEW020 12/09 A3015 RMK AO2 (AR)",
"72295023174","2007-01-01T04:50:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","060,5,N,0015,5","22000,5,9,N","011265,5,N,5","+0128,5","+0094,5","10211,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04,5,+00762,5,99,9",,,,,"2,99,1,+00762,5,9",,,,"04,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10213,5,10094,5",,,,,,,,,,,,,,,,,,"MET09712/31/06 20:51:53 METAR KLAX 010450Z 06003KT 7SM SCT025 13/09 A3016 RMK AO2 SLP211 T01280094 (AR)",
