"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AA3","AB1","AD1","AE1","AH1","AH2","AH3","AH4","AH5","AH6","AI1","AI2","AI3","AI4","AI5","AI6","AT1","AT2","AT3","AT4","AU1","AU2","AW1","AW2","AX1","AX2","AX3","ED1","GA1","GA2","GA3","GA4","GD1","GD2","GD3","GD4","GF1","KA1","KA2","KB1","KB2","KB3","KC1","KC2","KD1","KD2","KE1","KG1","KG2","MA1","MD1","MF1","MG1","MH1","MK1","MW1","MW2","OC1","OD1","OE1","OE2","OE3","RH1","RH2","RH3","REM","EQD"
"72295023174","2008-01-01T00:00:00","4","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-12","KLAX ","V020","999,9,C,0000,1","22000,1,9,N","016000,1,N,1","+0239,1","-0017,1","10187,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00,1,+99999,9,99,9",,,,,,,,"00,99,1,00,1,00,1,99999,9,00,1,00,1","120,M,+0239,1","180,N,+0067,1",,,,,,,,,,,"99999,9,10130,1",,,,,,,,,,,,,,,,"SYN092AAXX  01004 72295 32966 00000 10239 21017 30130 40187 53000 92350 333 10239 20067 555 90100;","Q01+000032APCTEN"
"72295023174","2008-01-01T00:50:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","999,9,V,0021,5","22000,5,9,N","016093,5,N,5","+0228,5","-0039,5","10190,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10190,5,10071,6",,,,,,,,,,,,,,,,"MET09712/31/07 16:52:00 METAR KLAX 010050Z VRB04KT 10SM CLR 23/M04 A3009 RMK AO2 SLP190 T02281039 (BLB)","Q01    099SCCGD1P01    003SCCGA1"
"72295023174","2008-01-01T01:50:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","320,5,N,0031,5","22000,5,9,N","016093,5,N,5","+0200,5","-0039,5","10196,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10196,5,10077,5",,,,,,,,,,,,,,,,"MET09712/31/07 17:51:53 METAR KLAX 010150Z 32006KT 10SM CLR 20/M04 A3011 RMK AO2 SLP196 T02001039 (BLB)","Q01    099SCCGD1P01    003SCCGA1"
"72295023174","2008-01-01T02:50:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","360,5,N,0026,5","22000,5,9,N","016093,5,N,5","+0183,5","-0061,5","10204,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10203,5,10084,5","3,9,015,9,+999,9",,,,,,,,,,,,,,,"MET10312/31/07 18:51:52 METAR KLAX 010250Z 36005KT 10SM CLR 18/M06 A3013 RMK AO2 SLP204 T01831061 53015 (BLB)","Q01    099SCCGD1P01    003SCCGA1"
"72295023174","2008-01-01T03:50:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","350,5,N,0026,5","22000,5,9,N","016093,5,N,5","+0183,5","-0089,5","10212,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10213,5,10094,5",,,,,,,,,,,,,,,,"MET09712/31/07 19:51:51 METAR KLAX 010350Z 35005KT 10SM CLR 18/M09 A3016 RMK AO2 SLP212 T01831089 (BLB)","Q01    099SCCGD1P01    003SCCGA1"
"72295023174","2008-01-01T04:50:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","999,9,C,0000,5","22000,5,9,N","016093,5,N,5","+0172,5","-0089,5","10220,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10220,5,10101,5",,,,,,,,,,,,,,,,"MET09712/31/07 20:51:52 METAR KLAX 010450Z 00000KT 10SM CLR 17/M09 A3018 RMK AO2 SLP220 T01721089 (BLB)","Q01    099SCCGD1P01    003SCCGA1"
"72295023174","2008-01-01T05:50:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","999,9,V,0026,5","22000,5,9,N","016093,5,N,5","+0172,5","-0072,5","10223,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","999,M,+0239,1","999,N,+0156,1",,,,,,,,,,,"10224,5,10104,5","1,9,020,9,+999,9",,,,,,,,,,,,,,,"MET11512/31/07 21:51:52 METAR KLAX 010550Z VRB05KT 10SM CLR 17/M07 A3019 RMK AO2 SLP223 T01721072 10239 20156 51020 (BLB)","Q01    099SCCGD1P01    003SCCGA1"
"72295023174","2008-01-01T06:00:00","4","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-12","KLAX ","V020","999,9,9,9999,9","22000,1,9,N","016000,1,N,1","+0172,1","-0072,1","10223,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00,1,+99999,9,99,9",,,,,,,,"00,99,1,00,1,00,1,99999,9,00,1,00,1","240,M,+0239,1","240,N,+0067,1",,,,,,,,,,,"99999,9,99999,9","1,1,020,1,+999,9",,,,,,,,,,,,,,,"SYN092AAXX  01064 72295 32966 0//05 10172 21072 30167 40223 51020 90550 333 10239 20067 555 90106;","Q01 101673APOSP "
"72295023174","2008-01-01T06:50:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","020,5,N,0041,5","22000,5,9,N","016093,5,N,5","+0167,5","-0072,5","10227,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10230,5,10111,5",,,,,,,,,,,,,,,,"MET09712/31/07 22:51:52 METAR KLAX 010650Z 02008KT 10SM CLR 17/M07 A3021 RMK AO2 SLP227 T01671072 (BLB)","Q01    099SCCGD1P01    003SCCGA1"
"72295023174","2008-01-01T07:50:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","010,5,N,0036,5","22000,5,9,N","016093,5,N,5","+0156,5","-0083,5","10224,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10227,5,10108,5",,,,,,,,,,,,,,,,"MET10612/31/07 23:51:52 METAR KLAX 010750Z 01007KT 10SM CLR 16/M08 A3020 RMK AO2 SLP224 T01561083 402390067 (GG)","Q01    099SCCGD1P01    003SCCGA1"
