"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AA3","AB1","AD1","AE1","AH1","AH2","AH3","AH4","AH5","AH6","AI1","AI2","AI3","AI4","AI5","AI6","AT1","AT2","AT3","AT4","AU1","AU2","AU3","AW1","AW2","AW3","AX1","AX2","AX3","ED1","GA1","GA2","GA3","GA4","GA5","GD1","GD2","GD3","GD4","GF1","KA1","KA2","KB1","KB2","KB3","KC1","KC2","KD1","KD2","KE1","KG1","KG2","MA1","MD1","MF1","MG1","MH1","MK1","MW1","MW2","MW3","OC1","OD1","OE1","OE2","OE3","RH1","RH2","RH3","REM","EQD"
"72295023174","2009-01-01T00:00:00","4","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-12","KLAX ","V020","270,1,N,0041,1","99999,9,9,N","001200,1,N,1","+0106,1","+0089,1","10176,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"08,99,1,99,9,99,9,00150,1,99,9,99,9","120,M,+0128,1","180,N,+0089,1",,,,,,,,,,,"99999,9,10120,1","6,1,008,1,+999,9",,,,,"10,1",,,,,,,,,,,"SYN098AAXX  01004 72295 31212 82708 10106 20089 30120 40176 56008 710// 92353 333 10128 20089 555 90100;",
"72295023174","2009-01-01T00:53:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","260,5,N,0041,5","00122,5,M,N","001207,5,N,5","+0106,5","+0089,5","10173,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,"0,0,00,1,0,1,5",,,"10,5",,,,,,"99,U,1829,9","08,5,+00122,5,99,9",,,,,"4,99,1,+00122,5,9",,,,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10173,5,10054,6",,,,,,"10,1",,,,,,,,,,,"MET11012/31/08 16:53:00 METAR KLAX 010053Z 26008KT 3/4SM R25R/P6000FT BR OVC004 11/09 A3004 RMK AO2 SLP173 T01060089",
"72295023174","2009-01-01T01:53:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","290,5,N,0041,5","00061,5,M,N","001609,5,N,5","+0100,5","+0089,5","10178,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,"0,0,00,1,0,1,5",,,"10,5",,,,,,"99,U,1829,9","08,5,+00061,5,99,9",,,,,"4,99,1,+00061,5,9",,,,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10179,5,10061,5",,,,,,"10,1",,,,,,,,,,,"MET10812/31/08 17:53:00 METAR KLAX 010153Z 29008KT 1SM R25R/P6000FT BR OVC002 10/09 A3006 RMK AO2 SLP178 T01000089",
"72295023174","2009-01-01T02:53:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","260,5,N,0021,5","00122,5,M,N","001207,5,N,5","+0100,5","+0089,5","10178,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,"0,0,00,1,0,1,5",,,"10,5",,,,,,"99,U,1829,9","08,5,+00122,5,99,9",,,,,"4,99,1,+00122,5,9",,,,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10179,5,10061,5","3,9,002,9,+999,9",,,,,"10,1",,,,,,,,,,,"MET11612/31/08 18:53:00 METAR KLAX 010253Z 26004KT 3/4SM R25R/P6000FT BR OVC004 10/09 A3006 RMK AO2 SLP178 T01000089 53002",
"72295023174","2009-01-01T03:53:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","300,5,N,0015,5","00122,5,M,N","001609,5,N,5","+0100,5","+0089,5","10180,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,"0,0,00,1,0,1,5",,,"10,5",,,,,,"99,U,1829,9","08,5,+00122,5,99,9",,,,,"4,99,1,+00122,5,9",,,,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10179,5,10061,5",,,,,,"10,1",,,,,,,,,,,"MET12112/31/08 19:53:00 METAR KLAX 010353Z 30003KT 1SM R25R/P6000FT BR OVC004 10/09 A3006 RMK AO2 SLP180 VIS S-SW 1/4 T01000089",
"72295023174","2009-01-01T04:53:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","320,5,N,0026,5","00122,5,M,N","001207,5,N,5","+0094,5","+0083,5","10183,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,"0,0,00,1,0,1,5",,,"10,5",,,,,,"99,U,1829,9","08,5,+00122,5,99,9",,,,,"4,99,1,+00122,5,9",,,,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10183,5,10064,5",,,,,,"10,1",,,,,,,,,,,"MET11012/31/08 20:53:00 METAR KLAX 010453Z 32005KT 3/4SM R25R/P6000FT BR OVC004 09/08 A3007 RMK AO2 SLP183 T00940083",
"72295023174","2009-01-01T05:53:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","999,9,C,0000,5","00122,5,M,N","001609,5,N,5","+0094,5","+0089,5","10181,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,"0,0,00,1,0,1,5",,,"10,5",,,,,,"99,U,1829,9","08,5,+00122,5,99,9",,,,,"4,99,1,+00122,5,9",,,,"08,99,1,99,9,99,9,99999,9,99,9,99,9","999,M,+0111,1","999,N,+0094,1",,,,,,,,,,,"10183,5,10064,5","0,9,003,9,+999,9",,,,,"10,1",,,,,,,,,,,"MET13612/31/08 21:53:00 METAR KLAX 010553Z 00000KT 1SM R25R/P6000FT BR OVC004 09/09 A3007 RMK AO2 SLP181 VIS S 1/4 T00940089 10111 20094 50003",
"72295023174","2009-01-01T06:00:00","4","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-12","KLAX ","V020","999,9,C,0000,1","99999,9,9,N","001600,1,N,1","+0094,1","+0089,1","10181,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"08,99,1,99,9,99,9,00150,1,99,9,99,9","240,M,+0111,1","240,N,+0089,1",,,,,,,,,,,"99999,9,99999,9","0,1,003,1,+999,9",,,,,"10,1",,,,,,,,,,,"SYN098AAXX  01064 72295 31216 80000 10094 20089 30127 40181 50003 710// 90553 333 10111 20089 555 90106;","Q01 101273APOSP "
"72295023174","2009-01-01T06:45:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-16","KLAX ","V030","999,9,C,0000,5","00122,5,M,N","000402,5,N,5","+0090,5","+0080,5","99999,9",,,,,,,,,,,,,,,,,,,,,,,"0,0,00,2,0,1,5",,,"30,5",,,,,,"99,U,1829,9","08,5,+00122,5,99,9",,,,,"4,99,1,+00122,5,9",,,,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10179,5,10061,5",,,,,,"44,1",,,,,,,,,,,"MET09312/31/08 22:45:00 SPECI KLAX 010645Z 00000KT 1/4SM R25R/P6000FT FG OVC004 09/08 A3006 RMK AO2",
"72295023174","2009-01-01T06:53:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","999,9,C,0000,5","00122,5,M,N","000402,5,N,5","+0094,5","+0083,5","10178,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,"0,0,00,2,0,1,5",,,"30,5",,,,,,"99,U,1829,9","08,5,+00122,5,99,9",,,,,"4,99,1,+00122,5,9",,,,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10179,5,10061,5",,,,,,"44,1",,,,,,,,,,,"MET11012/31/08 22:53:00 METAR KLAX 010653Z 00000KT 1/4SM R25R/P6000FT FG OVC004 09/08 A3006 RMK AO2 SLP178 T00940083",
