"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AA3","AB1","AD1","AE1","AH1","AH2","AH3","AH4","AH5","AH6","AI1","AI2","AI3","AI4","AI5","AI6","AT1","AT2","AT3","AT4","AU1","AU2","AU3","AW1","AW2","AW3","AX1","AX2","AX3","ED1","GA1","GA2","GA3","GA4","GA5","GD1","GD2","GD3","GD4","GF1","KA1","KA2","KB1","KB2","KB3","KC1","KC2","KD1","KD2","KE1","KG1","KG2","MA1","MD1","MF1","MG1","MH1","MK1","MV1","MW1","MW2","MW3","OC1","OD1","OE1","OE2","OE3","RH1","RH2","RH3","REM","EQD"
"72295023174","2011-01-01T00:00:00","4","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-12","KLAX ","V020","260,1,N,0046,1","99999,9,9,N","016000,1,N,1","+0122,1","-0017,1","10177,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"06,99,1,99,9,99,9,99999,9,99,9,99,9","120,M,+0139,1","180,N,+0039,1",,,,,,,,,,,"99999,9,10120,1","3,1,008,1,+999,9",,,,,,,,,,,,,,,,,"SYN092AAXX  01004 72295 32966 62609 10122 21017 30120 40177 53008 92353 333 10139 20039 555 90100;",
"72295023174","2011-01-01T00:53:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","260,5,N,0041,5","07620,5,M,N","016093,5,N,5","+0117,5","+0000,5","10180,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04,5,+04877,5,99,9","07,5,+07620,5,99,9",,,,"2,99,1,+04877,5,9","3,99,1,+07620,5,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10179,5,10061,6",,,,,,,,,,,,,,,,,,"MET10512/31/10 16:53:03 METAR KLAX 010053Z 26008KT 10SM SCT160 BKN250 12/00 A3006 RMK AO2 SLP180 T01170000 (CF)",
"72295023174","2011-01-01T01:53:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","290,5,N,0026,5","07620,5,M,N","016093,5,N,5","+0111,5","+0000,5","10185,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02,5,+04877,5,99,9","07,5,+07620,5,99,9",,,,"1,99,1,+04877,5,9","3,99,1,+07620,5,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10183,5,10064,5",,,,,,,,,,,,,,,,,,"MET10512/31/10 17:53:03 METAR KLAX 010153Z 29005KT 10SM FEW160 BKN250 11/00 A3007 RMK AO2 SLP185 T01110000 (CF)",
"72295023174","2011-01-01T02:53:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","270,5,N,0026,5","22000,5,9,N","016093,5,N,5","+0106,5","+0011,5","10192,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02,5,+04267,5,99,9","04,5,+07620,5,99,9",,,,"1,99,1,+04267,5,9","2,99,1,+07620,5,9",,,"04,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10193,5,10074,5","3,9,014,9,+999,9",,,,,,,,,,,,,,,,,"MET11512/31/10 18:53:03 METAR KLAX 010253Z 27005KT 10SM FEW140 SCT250 11/01 A3010 RMK AO2 SLP192 T01060011 53014 RTX (CF)",
"72295023174","2011-01-01T03:53:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","010,5,N,0015,5","22000,5,9,N","016093,5,N,5","+0106,5","+0011,5","10195,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02,5,+04267,5,99,9","04,5,+07620,5,99,9",,,,"1,99,1,+04267,5,9","2,99,1,+07620,5,9",,,"04,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10193,5,10074,5",,,,,,,,,,,,,,,,,,"MET10512/31/10 19:53:03 METAR KLAX 010353Z 01003KT 10SM FEW140 SCT250 11/01 A3010 RMK AO2 SLP195 T01060011 (CF)",
"72295023174","2011-01-01T04:53:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","110,5,N,0015,5","07620,5,M,N","016093,5,N,5","+0106,5","+0000,5","10204,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04,5,+04572,5,99,9","07,5,+07620,5,99,9",,,,"2,99,1,+04572,5,9","3,99,1,+07620,5,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10203,5,10084,5",,,,,,,,,,,,,,,,,,"MET10912/31/10 20:53:03 METAR KLAX 010453Z 11003KT 10SM SCT150 BKN250 11/00 A3013 RMK AO2 SLP204 T01060000 RTX (CF)",
"72295023174","2011-01-01T05:53:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","090,5,N,0021,5","04572,5,M,N","016093,5,N,5","+0100,5","+0006,5","10209,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"07,5,+04572,5,99,9",,,,,"3,99,1,+04572,5,9",,,,"07,99,1,99,9,99,9,99999,9,99,9,99,9","999,M,+0122,1","999,N,+0094,1",,,,,,,,,,,"10210,5,10091,5","3,9,018,9,+999,9",,,,,,,,,,,,,,,,,"MET11612/31/10 21:53:03 METAR KLAX 010553Z 09004KT 10SM BKN150 10/01 A3015 RMK AO2 SLP209 T01000006 10122 20094 53018 (CF)",
"72295023174","2011-01-01T06:00:00","4","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-12","KLAX ","V020","090,1,N,0021,1","99999,9,9,N","016000,1,N,1","+0100,1","+0006,1","10209,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"06,99,1,99,9,99,9,99999,9,99,9,99,9","240,M,+0122,1","240,N,+0039,1",,,,,,,,,,,"99999,9,99999,9","3,1,018,1,+999,9",,,,,,,,,,,,,,,,,"SYN092AAXX  01064 72295 32966 60904 10100 20006 30154 40209 53018 90553 333 10122 20039 555 90106;","Q01 101543APOSP "
"72295023174","2011-01-01T06:53:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","999,9,V,0031,5","04572,5,M,N","012875,5,N,5","+0100,5","-0006,5","10211,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02,5,+02438,5,99,9","08,5,+04572,5,99,9",,,,"1,99,1,+02438,5,9","4,99,1,+04572,5,9",,,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10210,5,10091,5",,,,,,,,,,,,,,,,,,"MET10512/31/10 22:53:03 METAR KLAX 010653Z VRB06KT 8SM FEW080 OVC150 10/M01 A3015 RMK AO2 SLP211 T01001006 (CF)",
"72295023174","2011-01-01T07:53:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","050,5,N,0031,5","04572,5,M,N","016093,5,N,5","+0100,5","-0011,5","10213,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02,5,+02438,5,99,9","08,5,+04572,5,99,9",,,,"1,99,1,+02438,5,9","4,99,1,+04572,5,9",,,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10213,5,10094,5",,,,,,,,,,,,,,,,,,"MET11612/31/10 23:53:03 METAR KLAX 010753Z 05006KT 10SM FEW080 OVC150 10/M01 A3016 RMK AO2 SLP213 T01001011 401390039 (GG)",
