"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AA3","AB1","AD1","AE1","AH1","AH2","AH3","AH4","AH5","AH6","AI1","AI2","AI3","AI4","AI5","AI6","AT1","AT2","AT3","AT4","AU1","AU2","AU3","AW1","AW2","AW3","AX1","AX2","AX3","ED1","GA1","GA2","GA3","GD1","GD2","GD3","GD4","GF1","KA1","KA2","KB1","KB2","KB3","KC1","KC2","KD1","KD2","KE1","KG1","KG2","MA1","MD1","MF1","MG1","MH1","MK1","MW1","MW2","MW3","OC1","OD1","OE1","OE2","OE3","RH1","RH2","RH3","REM","EQD"
"72295023174","2012-01-01T00:00:00","4","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-12","KLAX ","V020","270,1,N,0046,1","99999,9,9,N","002000,1,N,1","+0128,1","+0106,1","10164,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"06,99,1,99,9,99,9,00150,1,99,9,99,9","120,M,+0167,1","180,N,+0067,1",,,,,,,,,,,"99999,9,10107,1","3,1,004,1,+999,9",,,,,"10,1",,,,,,,,,,,"SYN104AAXX  01004 72295 31220 62709 10128 20106 30107 40164 53004 710// 92353 333 10167 20067 96010 555 90100;",
"72295023174","2012-01-01T00:09:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-16","KLAX ","V030","290,5,N,0041,5","00122,5,W,N","000402,5,N,5","+0120,5","+0100,5","99999,9",,,,,,,,,,,,,,,,,,,,,,,"0,0,00,2,0,1,5",,,"30,5",,,,,,"99,U,1829,9","09,5,+00122,5,99,9",,,"5,99,1,+00122,5,9",,,,"09,99,1,99,9,99,9,00025,1,99,9,99,9",,,,,,,,,,,,,"10166,5,10047,6",,,,,,"45,1",,,,,,,,,,,"MET09712/31/11 16:09:03 SPECI KLAX 010009Z 29008KT 1/4SM R25R/P6000FT FG VV004 12/10 A3002 RMK AO2 (CF)",
"72295023174","2012-01-01T00:53:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","300,5,N,0046,5","00122,5,M,N","000402,5,N,5","+0117,5","+0100,5","10167,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,"0,0,00,2,0,1,5",,,"30,5",,,,,,"25,R,1829,9","08,5,+00122,5,99,9",,,"4,99,1,+00122,5,9",,,,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10166,5,10047,6",,,,,,"44,1",,,,,,,,,,,"MET12012/31/11 16:53:03 METAR KLAX 010053Z 30009KT 1/4SM R25R/6000VP6000FT FG OVC004 12/10 A3002 RMK AO2 SLP167 T01170100 (CF)",
"72295023174","2012-01-01T01:53:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","260,5,N,0026,5","00061,5,M,N","000402,5,N,5","+0111,5","+0100,5","10171,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,"0,0,00,2,0,1,5",,,"30,5",,,,,,"25,R,0671,9","08,5,+00061,5,99,9",,,"4,99,1,+00061,5,9",,,,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10173,5,10054,5",,,,,,"44,1",,,,,,,,,,,"MET12012/31/11 17:53:03 METAR KLAX 010153Z 26005KT 1/4SM R25R/2200VP6000FT FG OVC002 11/10 A3004 RMK AO2 SLP171 T01110100 (CF)",
"72295023174","2012-01-01T02:34:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-16","KLAX ","V030","999,9,C,0000,5","00030,5,M,N","000402,5,N,5","+0110,5","+0110,5","99999,9",,,,,,,,,,,,,,,,,,,,,,,"0,0,00,2,0,1,5",,,"30,5",,,,,,"25,R,0488,9","07,5,+00030,5,99,9",,,"3,99,1,+00030,5,9",,,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10173,5,10054,5",,,,,,"44,1",,,,,,,,,,,"MET10212/31/11 18:34:03 SPECI KLAX 010234Z 00000KT 1/4SM R25R/1600V2800FT FG BKN001 11/11 A3004 RMK AO2 (CF)",
"72295023174","2012-01-01T02:51:00","6","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-16","KLAX ","V030","999,9,C,0000,5","00061,5,M,N","000805,5,N,5","+0110,5","+0110,5","99999,9",,,,,,,,,,,,,,,,,,,,,,,"0,0,00,2,0,1,5",,,"30,5",,,,,,,"07,5,+00061,5,99,9",,,"3,99,1,+00061,5,9",,,,,,,,,,,,,,,,,"10176,5,10057,5",,,,,,,,,,,,,,,,,"MET10312/31/11 18:51:03 SPECI KLAX 010251Z 00000KT 1/2SM R25R/P6000FT FG BKN002 11/11 A3005 RMK AO2 FIBI (CF)",
"72295023174","2012-01-01T02:53:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","999,9,C,0000,5","00061,5,M,N","000805,5,N,5","+0111,5","+0106,5","10176,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,"0,0,00,2,0,1,5",,,"30,5",,,,,,"99,U,1829,9","07,5,+00061,5,99,9",,,"3,99,1,+00061,5,9",,,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10176,5,10057,5","3,9,012,9,+999,9",,,,,"44,1",,,,,,,,,,,"MET12112/31/11 18:53:03 METAR KLAX 010253Z 00000KT 1/2SM R25R/P6000FT FG BKN002 11/11 A3005 RMK AO2 SLP176 T01110106 53012 (CF)",
"72295023174","2012-01-01T03:26:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-16","KLAX ","V030","999,9,C,0000,5","00061,5,M,N","001609,5,N,5","+0120,5","+0100,5","99999,9",,,,,,,,,,,,,,,,,,,,,,,"0,3,00,2,0,1,5","0,0,00,1,0,1,5",,"10,5","31,5",,,,,"99,U,1829,9","07,5,+00061,5,99,9",,,"3,99,1,+00061,5,9",,,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10176,5,10057,5",,,,,,"10,1","41,1",,,,,,,,,,"MET10112/31/11 19:26:03 SPECI KLAX 010326Z 00000KT 1SM R25R/P6000FT BCFG BR BKN002 12/10 A3005 RMK AO2 (CF)",
"72295023174","2012-01-01T03:53:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","999,9,C,0000,5","00061,5,M,N","001609,5,N,5","+0111,5","+0094,5","10180,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,"0,3,00,2,0,1,5",,,"31,5",,,,,,"99,U,1829,9","07,5,+00061,5,99,9",,,"3,99,1,+00061,5,9",,,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10179,5,10061,5",,,,,,"41,1",,,,,,,,,,,"MET11512/31/11 19:53:03 METAR KLAX 010353Z 00000KT 1SM R25R/P6000FT BCFG BKN002 11/09 A3006 RMK AO2 SLP180 T01110094 (CF)",
"72295023174","2012-01-01T04:25:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-16","KLAX ","V030","999,9,C,0000,5","22000,5,9,N","003219,5,N,5","+0120,5","+0100,5","99999,9",,,,,,,,,,,,,,,,,,,,,,,"0,3,00,2,0,1,5",,,"31,5",,,,,,,"02,5,+00061,5,99,9",,,"1,99,1,+00061,5,9",,,,"02,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10183,5,10064,5",,,,,,"41,1",,,,,,,,,,,"MET09412/31/11 20:25:03 SPECI KLAX 010425Z 00000KT 2SM BCFG FEW002 12/10 A3007 RMK AO2 VIS NW 1 (CF)",
