"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AA3","AB1","AD1","AE1","AH1","AH2","AH3","AH4","AH5","AH6","AI1","AI2","AI3","AI4","AI5","AI6","AJ1","AK1","AM1","AN1","AT1","AT2","AT3","AT4","AU1","AU2","AW1","AW2","AX1","ED1","GA1","GA2","GA3","GA4","GA5","GD1","GD2","GD3","GD4","GF1","KA1","KA2","KB1","KB2","KB3","KC1","KC2","KD1","KD2","KE1","KG1","KG2","MA1","MD1","MF1","MG1","MH1","MK1","MV1","MW1","MW2","OC1","OD1","OE1","OE2","OE3","RH1","RH2","RH3","REM","EQD"
"72295023174","2013-01-01T00:00:00","4","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-12","KLAX ","V020","260,1,N,0036,1","22000,1,9,N","016000,1,N,1","+0133,1","+0039,1","10225,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04,99,1,99,9,99,9,02250,1,99,9,99,9","120,M,+0150,1","180,N,+0050,1",,,,,,,,,,,"99999,9,10167,1","3,1,002,1,+999,9",,,,,,,,,,,,,,,,"SYN092AAXX  01004 72295 32866 42607 10133 20039 30167 40225 53002 92353 333 10150 20050 555 90100;",
"72295023174","2013-01-01T00:53:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","260,5,N,0041,5","22000,5,9,N","016093,5,N,5","+0122,5","+0044,5","10230,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02,5,+07620,5,99,9",,,,,"1,99,1,+07620,5,9",,,,"02,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10230,5,10111,6",,,,,,,,,,,,,,,,,"MET09812/31/12 16:53:03 METAR KLAX 010053Z 26008KT 10SM FEW250 12/04 A3021 RMK AO2 SLP230 T01220044 (AR)",
"72295023174","2013-01-01T01:53:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","270,5,N,0036,5","22000,5,9,N","016093,5,N,5","+0117,5","+0050,5","10230,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02,5,+07620,5,99,9",,,,,"1,99,1,+07620,5,9",,,,"02,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10230,5,10111,5",,,,,,,,,,,,,,,,,"MET09812/31/12 17:53:03 METAR KLAX 010153Z 27007KT 10SM FEW250 12/05 A3021 RMK AO2 SLP230 T01170050 (AR)",
"72295023174","2013-01-01T02:53:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","230,5,N,0021,5","22000,5,9,N","016093,5,N,5","+0117,5","+0028,5","10230,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10230,5,10111,5","1,9,006,9,+999,9",,,,,,,,,,,,,,,,"MET10112/31/12 18:53:03 METAR KLAX 010253Z 23004KT 10SM CLR 12/03 A3021 RMK AO2 SLP230 T01170028 51006 (AR)","Q01    099SCCGD1P01    003SCCGA1"
"72295023174","2013-01-01T03:53:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","340,5,N,0026,5","22000,5,9,N","016093,5,N,5","+0122,5","+0039,5","10237,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02,5,+07620,5,99,9",,,,,"1,99,1,+07620,5,9",,,,"02,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10237,5,10118,5",,,,,,,,,,,,,,,,,"MET09812/31/12 19:53:03 METAR KLAX 010353Z 34005KT 10SM FEW250 12/04 A3023 RMK AO2 SLP237 T01220039 (AR)",
"72295023174","2013-01-01T04:53:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","999,9,V,0015,5","22000,5,9,N","016093,5,N,5","+0106,5","+0039,5","10239,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02,5,+07620,5,99,9",,,,,"1,99,1,+07620,5,9",,,,"02,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10240,5,10121,5",,,,,,,,,,,,,,,,,"MET09812/31/12 20:53:03 METAR KLAX 010453Z VRB03KT 10SM FEW250 11/04 A3024 RMK AO2 SLP239 T01060039 (AR)",
"72295023174","2013-01-01T05:53:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","100,5,N,0015,5","22000,5,9,N","016093,5,N,5","+0100,5","+0044,5","10240,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04,5,+04572,5,99,9",,,,,"2,99,1,+04572,5,9",,,,"04,99,1,99,9,99,9,99999,9,99,9,99,9","999,M,+0133,1","999,N,+0100,1",,,,,,,,,,,"10240,5,10121,5","1,9,011,9,+999,9",,,,,,,,,,,,,,,,"MET11612/31/12 21:53:03 METAR KLAX 010553Z 10003KT 10SM SCT150 10/04 A3024 RMK AO2 SLP240 T01000044 10133 20100 51011 (AR)",
"72295023174","2013-01-01T06:00:00","4","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-12","KLAX ","V020","100,1,N,0015,1","22000,1,9,N","016000,1,N,1","+0100,1","+0044,1","10240,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04,99,1,99,9,99,9,99999,9,99,9,99,9","240,M,+0133,1","240,N,+0050,1",,,,,,,,,,,"99999,9,99999,9","1,1,011,1,+999,9",,,,,,,,,,,,,,,,"SYN092AAXX  01064 72295 32966 41003 10100 20044 30184 40240 51011 90553 333 10133 20050 555 90106;","Q01 101843APOSP "
"72295023174","2013-01-01T06:53:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","110,5,N,0026,5","06096,5,M,N","014484,5,N,5","+0100,5","+0050,5","10243,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"07,5,+06096,5,99,9",,,,,"3,99,1,+06096,5,9",,,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10244,5,10124,5",,,,,,,,,,,,,,,,,"MET09712/31/12 22:53:03 METAR KLAX 010653Z 11005KT 9SM BKN200 10/05 A3025 RMK AO2 SLP243 T01000050 (AR)",
"72295023174","2013-01-01T07:53:00","7","33.938","-118.3888","29.6","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","080,5,N,0021,5","06096,5,M,N","016093,5,N,5","+0089,5","+0039,5","10240,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"08,5,+06096,5,99,9",,,,,"4,99,1,+06096,5,9",,,,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10240,5,10121,5",,,,,,,,,,,,,,,,,"MET10912/31/12 23:53:03 METAR KLAX 010753Z 08004KT 10SM OVC200 09/04 A3024 RMK AO2 SLP240 T00890039 401500050 (RPA)",
