"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AA3","AB1","AD1","AE1","AH1","AH2","AH3","AH4","AH5","AH6","AI1","AI2","AI3","AI4","AI5","AI6","AT1","AT2","AT3","AT4","AU1","AU2","AU3","AW1","AW2","AW3","AX1","AX2","AX3","ED1","GA1","GA2","GA3","GD1","GD2","GD3","GD4","GE1","GF1","KA1","KA2","KB1","KB2","KB3","KC1","KC2","KD1","KD2","KE1","KG1","KG2","MA1","MD1","MF1","MG1","MH1","MK1","MV1","MW1","MW2","OC1","OD1","OE1","OE2","OE3","RH1","RH2","RH3","REM","EQD"
"72295023174","2024-01-01T00:00:00","4","33.93816","-118.3866","29.7","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-12","99999","V020","070,1,N,0036,1","99999,9,9,N","016000,1,9,9","+0150,1","+0111,1","10172,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"99,9,+01250,1,99,9",,,,,,,"9,AGL   ,+99999,+99999","06,99,1,99,9,99,9,01250,1,99,9,99,9","120,M,+0150,1","120,N,+0106,1",,,,,,,,,,,"99999,9,10117,1","8,1,023,1,+999,9",,,,,,,,,,,,,,,,"SYN08072295 32666 60707 10150 20111 30117 40172 58023 92353 333 10150 20106 555 90100=",
"72295023174","2024-01-01T00:53:00","7","33.93816","-118.3866","29.7","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","200,5,N,0026,5","22000,5,9,N","016093,5,N,5","+0150,5","+0100,5","10178,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02,5,+00610,5,99,9","02,5,+04572,5,99,9","04,5,+06096,5,99,9","1,99,1,+00610,5,9","1,99,1,+04572,5,9","2,99,1,+06096,5,9",,"9,AGL   ,+99999,+99999","04,99,5,99,9,99,9,00610,1,99,9,99,9",,,,,,,,,,,,,"10179,5,10061,5",,,,,,,,,,,,,,,,,"MET11212/31/23 16:53:03 METAR KLAX 010053Z 20005KT 10SM FEW020 FEW150 SCT200 15/10 A3006 RMK AO2 SLP178 T01500100 (AR)","D01      0ADE726"
"72295023174","2024-01-01T01:53:00","7","33.93816","-118.3866","29.7","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","220,5,N,0021,5","01524,5,M,N","016093,5,N,5","+0144,5","+0106,5","10182,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04,5,+01250,5,99,9","07,5,+01524,5,99,9",,"2,99,1,+01250,5,9","3,99,1,+01524,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,01250,1,99,9,99,9",,,,,,,,,,,,,"10183,5,10064,5",,,,,,,,,,,,,,,,,"MET10512/31/23 17:53:03 METAR KLAX 010153Z 22004KT 10SM SCT041 BKN050 14/11 A3007 RMK AO2 SLP182 T01440106 (AR)",
"72295023174","2024-01-01T02:53:00","7","33.93816","-118.3866","29.7","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","220,5,N,0026,5","01280,5,M,N","016093,5,N,5","+0144,5","+0111,5","10182,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02,5,+00914,5,99,9","07,5,+01280,5,99,9","07,5,+01524,5,99,9","1,99,1,+00914,5,9","3,99,1,+01280,5,9","3,99,1,+01524,5,9",,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00914,1,99,9,99,9",,,,,,,,,,,,,"10183,5,10064,5","0,9,009,9,+999,9",,,,,,,,,,,,,,,,"MET11812/31/23 18:53:03 METAR KLAX 010253Z 22005KT 10SM FEW030 BKN042 BKN050 14/11 A3007 RMK AO2 SLP182 T01440111 50009 (AR)",
"72295023174","2024-01-01T03:00:00","4","33.93816","-118.3866","29.7","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-12","99999","V020","220,1,N,0026,1","99999,9,9,N","016000,1,9,9","+0144,1","+0111,1","10182,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"99,9,+00800,1,99,9",,,,,,,"9,AGL   ,+99999,+99999","06,99,1,99,9,99,9,00800,1,99,9,99,9",,,,,,,,,,,,,"99999,9,99999,9","9,9,009,1,+999,9",,,,,,,,,,,,,,,,"SYN06472295 32566 62205 10144 20111 30127 40182 50009 90253 555 90103=","Q01 101273APOSP "
"72295023174","2024-01-01T03:53:00","7","33.93816","-118.3866","29.7","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","999,9,C,0000,5","04572,5,M,N","016093,5,N,5","+0144,5","+0111,5","10184,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04,5,+01372,5,99,9","07,5,+04572,5,99,9",,"2,99,1,+01372,5,9","3,99,1,+04572,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,01372,1,99,9,99,9",,,,,,,,,,,,,"10186,5,10067,5",,,,,,,,,,,,,,,,,"MET10512/31/23 19:53:03 METAR KLAX 010353Z 00000KT 10SM SCT045 BKN150 14/11 A3008 RMK AO2 SLP184 T01440111 (AR)",
"72295023174","2024-01-01T04:53:00","7","33.93816","-118.3866","29.7","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","080,5,N,0026,5","22000,5,9,N","016093,5,N,5","+0133,5","+0106,5","10182,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02,5,+00640,5,99,9","04,5,+04572,5,99,9",,"1,99,1,+00640,5,9","2,99,1,+04572,5,9",,,"9,AGL   ,+99999,+99999","04,99,5,99,9,99,9,00640,1,99,9,99,9",,,,,,,,,,,,,"10183,5,10064,5",,,,,,,,,,,,,,,,,"MET10512/31/23 20:53:03 METAR KLAX 010453Z 08005KT 10SM FEW021 SCT150 13/11 A3007 RMK AO2 SLP182 T01330106 (AR)","D01      0ADE726"
"72295023174","2024-01-01T05:53:00","7","33.93816","-118.3866","29.7","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","999,9,C,0000,5","22000,5,9,N","016093,5,N,5","+0122,5","+0106,5","10179,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02,5,+00640,5,99,9","02,5,+04572,5,99,9",,"1,99,1,+00640,5,9","1,99,1,+04572,5,9",,,"9,AGL   ,+99999,+99999","02,99,5,99,9,99,9,00640,1,99,9,99,9","060,M,+0156,1","060,N,+0122,1",,,,,,,,,,,"10179,5,10061,5","8,9,003,9,+999,9",,,,,,,,,,,,,,,,"MET12312/31/23 21:53:03 METAR KLAX 010553Z 00000KT 10SM FEW021 FEW150 12/11 A3006 RMK AO2 SLP179 T01220106 10156 20122 58003 (AR)","D01      0ADE726"
"72295023174","2024-01-01T06:00:00","4","33.93816","-118.3866","29.7","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-12","99999","V020","999,9,C,0000,1","22000,1,9,N","016000,1,9,9","+0122,1","+0106,1","10179,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"99,9,+00800,1,99,9",,,,,,,"9,AGL   ,+99999,+99999","02,99,1,99,9,99,9,00800,1,99,9,99,9","240,M,+0156,1","240,N,+0106,1",,,,,,,,,,,"99999,9,99999,9","8,1,003,1,+999,9",,,,,,,,,,,,,,,,"SYN08072295 32566 20000 10122 20106 30124 40179 58003 90553 333 10156 20106 555 90106=","Q01 101243APOSP "
"72295023174","2024-01-01T06:53:00","7","33.93816","-118.3866","29.7","LOS ANGELES INTERNATIONAL AIRPORT, CA US","FM-15","KLAX ","V030","999,9,C,0000,5","22000,5,9,N","014484,5,N,5","+0133,5","+0106,5","10179,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02,5,+00305,5,99,9","04,5,+04572,5,99,9",,"1,99,1,+00305,5,9","2,99,1,+04572,5,9",,,"9,AGL   ,+99999,+99999","04,99,5,99,9,99,9,00305,1,99,9,99,9",,,,,,,,,,,,,"10179,5,10061,5",,,,,,,,,,,,,,,,,"MET10512/31/23 22:53:03 METAR KLAX 010653Z 00000KT 9SM FEW010 SCT150 13/11 A3006 RMK AO2 SLP179 T01330106 (SAS)","D01      0ADE726"
