Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,201382,-,-,-,33.93,-118.42,-8,12,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.1.1.dev11+g50a59bd
Year,Month,Day,Hour,Minute,Temperature,Alpha,Aerosol Optical Depth,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Fill Flag,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,SSA,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm)
2002,1,1,0,0,11.600000000000001,1.44,0.057,0.64,0,0,0,0,7,10.600000000000001,0,0,0,0,0.247,93.77,169.06,0.88,0.17,1015,1.4000000000000001,30,1.3,0.0000,0.0000
2002,1,1,0,30,11.4,1.44,0.057,0.64,0,0,0,0,4,10.600000000000001,0,0,0,0,0.246,95.02,166.92000000000002,0.88,0.17,1015,1.5,32,1.3,0.0000,0.0000
2002,1,1,1,0,11.200000000000001,1.46,0.057,0.64,0,0,0,0,4,10.100000000000001,0,0,0,0,0.245,93.08,162.43,0.88,0.17,1015,1.5,35,1.4000000000000001,0.0000,0.0000
2002,1,1,1,30,11,1.46,0.057,0.64,0,0,0,0,4,10.100000000000001,0,0,0,0,0.245,94.32000000000001,156.93,0.88,0.17,1015,1.5,35,1.5,0.0000,0.0000
2002,1,1,2,0,10.8,1.47,0.058,0.64,0,0,0,0,4,9.600000000000001,0,0,0,0,0.244,92.5,151.02,0.88,0.17,1015,1.5,36,1.6,0.0000,0.0000
2002,1,1,2,30,10.600000000000001,1.47,0.058,0.64,0,0,0,0,7,9.600000000000001,0,0,0,0,0.244,93.74,144.91,0.88,0.17,1015,1.6,37,1.7000000000000002,0.0000,0.0000
2002,1,1,3,0,10.4,1.47,0.061,0.64,0,0,0,0,7,9.1,0,0,0,0,0.243,91.96000000000001,138.72,0.89,0.17,1014,1.6,39,1.8,0.0000,0.0000
2002,1,1,3,30,10.3,1.47,0.061,0.64,0,0,0,0,7,9.1,0,0,0,0,0.243,92.58,132.5,0.89,0.17,1014,1.6,42,2,0.0000,0.0000
2002,1,1,4,0,10.200000000000001,1.45,0.064,0.64,0,0,0,0,7,8.700000000000001,0,0,0,0,0.243,90.49,126.29,0.89,0.17,1014,1.7000000000000002,46,2.2,0.0000,0.0000
2002,1,1,4,30,10.200000000000001,1.45,0.064,0.64,0,0,0,0,7,8.700000000000001,0,0,0,0,0.243,90.49,120.12,0.9,0.17,1014,1.7000000000000002,50,2.3000000000000003,0.0000,0.0000
2002,1,1,5,0,10.200000000000001,1.46,0.064,0.64,0,0,0,0,7,8.3,0,0,0,0,0.243,87.89,114,0.9,0.17,1015,1.7000000000000002,54,2.5,0.0000,0.0000
2002,1,1,5,30,10.200000000000001,1.46,0.064,0.64,0,0,0,0,7,8.3,0,0,0,0,0.243,87.89,107.97,0.9,0.17,1015,1.8,57,2.5,0.0000,0.0000
2002,1,1,6,0,10.200000000000001,1.46,0.065,0.64,0,0,0,0,7,7.9,0,0,0,0,0.243,85.45,102.05,0.9,0.17,1015,1.8,60,2.6,0.0000,0.0000
2002,1,1,6,30,10.600000000000001,1.46,0.065,0.64,0,0,0,0,7,7.9,0,0,0,0,0.243,83.21000000000001,96.27,0.9,0.17,1015,1.8,62,2.7,0.0000,0.0000
2002,1,1,7,0,11,1.45,0.07100000000000001,0.64,0,0,0,0,6,7.7,0,0,0,0,0.243,80.06,90.07000000000001,0.91,0.17,1015,1.9000000000000001,64,2.8000000000000003,0.0000,0.0000
2002,1,1,7,30,12,1.45,0.07100000000000001,0.64,28,327,56,7,6,7.7,19,0,7,19,0.243,75.03,85.09,0.91,0.17,1016,1.9000000000000001,65,3,0.0000,0.0000
2002,1,1,8,0,13,1.43,0.079,0.64,48,503,135,0,6,7.9,62,42,0,69,0.243,71.16,80.02,0.91,0.17,1016,2,66,3.3000000000000003,0.0000,0.0000
2002,1,1,8,30,13.8,1.43,0.079,0.64,61,624,220,0,7,7.9,102,11,0,104,0.243,67.56,75.21000000000001,0.92,0.17,1016,2,72,2.9000000000000004,5.0764,3.8997
2002,1,1,9,0,14.600000000000001,1.44,0.081,0.64,71,702,302,0,6,8.3,77,2,0,78,0.242,65.93,70.77,0.92,0.17,1016,2,78,2.5,3.9654,3.0677
2002,1,1,9,30,15.700000000000001,1.44,0.081,0.64,78,757,377,0,6,8.3,138,12,0,143,0.242,61.44,66.78,0.92,0.17,1016,2,93,1.9000000000000001,7.5237,5.8469
2002,1,1,10,0,16.7,1.46,0.106,0.64,91,766,435,0,7,8.4,234,114,0,285,0.242,58.17,63.34,0.91,0.17,1016,2,109,1.4000000000000001,15.3825,11.9887
2002,1,1,10,30,17.2,1.46,0.106,0.64,95,794,486,0,7,8.4,249,69,0,282,0.241,56.36,60.550000000000004,0.91,0.17,1016,2,133,1.2000000000000002,15.4962,12.0993
2002,1,1,11,0,17.8,1.45,0.116,0.64,102,802,521,0,7,8.6,246,304,0,405,0.241,54.99,58.49,0.91,0.17,1015,2,158,1.1,22.5198,17.6028
2002,1,1,11,30,18,1.45,0.116,0.64,104,812,544,0,8,8.6,246,347,0,434,0.24,54.31,57.24,0.92,0.17,1015,2,173,1.2000000000000002,24.2927,19.0000
2002,1,1,12,0,18.1,1.45,0.122,0.64,107,809,549,0,7,8.9,284,160,0,371,0.24,54.96,56.870000000000005,0.92,0.17,1014,2,189,1.3,20.8056,16.2754
2002,1,1,12,30,18.1,1.45,0.122,0.64,106,805,540,0,8,8.9,187,505,0,459,0.23900000000000002,54.96,57.4,0.92,0.17,1014,2,192,1.4000000000000001,25.6709,20.0764
2002,1,1,13,0,18.1,1.46,0.127,0.64,106,788,515,0,7,9.1,265,188,0,362,0.23800000000000002,55.83,58.78,0.92,0.17,1014,2,195,1.4000000000000001,20.0967,15.7065
2002,1,1,13,30,18,1.46,0.127,0.64,103,768,475,0,7,9.1,259,157,0,336,0.23700000000000002,56.18,60.980000000000004,0.92,0.17,1014,2,197,1.4000000000000001,18.4154,14.3749
2002,1,1,14,0,17.8,1.48,0.127,0.64,97,740,423,0,8,9.4,177,453,0,376,0.23600000000000002,57.71,63.89,0.91,0.17,1014,1.9000000000000001,200,1.4000000000000001,20.2166,15.7499
2002,1,1,14,30,17.5,1.48,0.127,0.64,90,696,357,0,8,9.4,185,289,0,296,0.23500000000000001,58.81,67.43,0.91,0.17,1014,1.9000000000000001,209,1.4000000000000001,15.4917,12.0315
2002,1,1,15,0,17.1,1.5,0.122,0.64,79,641,283,0,4,9.9,141,6,0,143,0.234,62.7,71.5,0.91,0.17,1014,1.9000000000000001,217,1.4000000000000001,7.2213,5.5809
2002,1,1,15,30,16.1,1.5,0.122,0.64,67,551,200,0,0,9.9,67,551,0,200,0.233,66.8,76.01,0.91,0.17,1014,1.9000000000000001,226,1.3,9.6976,7.4389
2002,1,1,16,0,15.100000000000001,1.51,0.121,0.64,50,420,117,0,0,10.4,50,420,0,117,0.232,73.57000000000001,80.87,0.91,0.16,1014,1.9000000000000001,235,1.2000000000000002,0.0000,0.0000
2002,1,1,16,30,14.600000000000001,1.51,0.121,0.64,26,216,41,0,0,10.4,26,216,0,41,0.231,75.97,85.97,0.91,0.16,1014,1.9000000000000001,244,1.1,0.0000,0.0000
