MesMesAño,Hora HH,total_pasos_ave,total_pasos_ill
1/4/2023,12:00:00 AM,4629.646652,344.240379
1/4/2023,1:00:00 AM,5589.79176,379.6691535
1/4/2023,2:00:00 AM,5261.008088,377.829441
1/4/2023,3:00:00 AM,5070.107642,362.0693925
1/4/2023,4:00:00 AM,4738.966444,384.126381
1/4/2023,5:00:00 AM,4255.54149,361.75113
1/4/2023,6:00:00 AM,3987.971656,329.7318525
1/4/2023,7:00:00 AM,3616.693356,406.33272
1/4/2023,8:00:00 AM,3704.43158,300.018969
1/4/2023,9:00:00 AM,2896.01018,314.0404245
1/4/2023,10:00:00 AM,2830.062556,299.322
1/4/2023,11:00:00 AM,2911.658,236.808
